budget_fraction,budget_params,dense_params,strategy,params_used,leftover_params,achieved_compression,proxy_loss,measured_sq_error,proxy_over_measured,rel_error_stack,gap_vs_optimum_pct,ranks
0.1,20480,204800,uniform,20096,384,10.1911,3.19596047e+01,3.19593333e+01,1.000008,0.320505,23.0435,8|10|8|6|13|5
0.1,20480,204800,greedy,20480,0,10.0,2.59742285e+01,2.59739945e+01,1.000009,0.288938,0.0,3|11|13|25|5|3
0.1,20480,204800,lagrangian,20480,0,10.0,2.59742285e+01,2.59739945e+01,1.000009,0.288938,0.0,3|11|13|25|5|3
0.1,20480,204800,knapsack_dp,20480,0,10.0,2.59742285e+01,2.59739945e+01,1.000009,0.288938,0.0,3|11|13|25|5|3
0.15,30720,204800,uniform,30464,256,6.7227,2.35962017e+01,2.35959531e+01,1.000011,0.275394,28.59,13|14|13|9|19|8
0.15,30720,204800,greedy,30720,0,6.6667,1.83499447e+01,1.83497329e+01,1.000012,0.242857,0.0,6|16|18|28|10|8
0.15,30720,204800,lagrangian,30720,0,6.6667,1.83499447e+01,1.83497329e+01,1.000012,0.242857,0.0,6|16|18|28|10|8
0.15,30720,204800,knapsack_dp,30720,0,6.6667,1.83499447e+01,1.83497329e+01,1.000012,0.242857,0.0,6|16|18|28|10|8
0.2,40960,204800,uniform,40832,128,5.0157,1.72551369e+01,1.72549102e+01,1.000013,0.235501,30.6224,17|19|17|13|26|10
0.2,40960,204800,greedy,40832,128,5.0157,1.32573353e+01,1.32571427e+01,1.000015,0.206424,0.3588,10|20|22|33|16|11
0.2,40960,204800,lagrangian,40832,128,5.0157,1.32573353e+01,1.32571427e+01,1.000015,0.206424,0.3588,10|20|22|33|16|11
0.2,40960,204800,knapsack_dp,40960,0,5.0,1.32099350e+01,1.32097420e+01,1.000015,0.206055,0.0,10|20|22|32|16|12
0.3,61440,204800,uniform,60800,640,3.3684,9.81058026e+00,9.81038826e+00,1.00002,0.177574,42.2169,25|29|25|19|38|16
0.3,61440,204800,greedy,61440,0,3.3333,6.89832115e+00,6.89816408e+00,1.000023,0.148903,0.0,16|29|30|43|28|19
0.3,61440,204800,lagrangian,61184,256,3.3473,6.95224809e+00,6.95209004e+00,1.000023,0.149484,0.7817,16|29|30|42|28|19
0.3,61440,204800,knapsack_dp,61440,0,3.3333,6.89832115e+00,6.89816408e+00,1.000023,0.148903,0.0,16|29|30|43|28|19
0.4,81920,204800,uniform,81792,128,2.5039,5.54013321e+00,5.53997359e+00,1.000029,0.133441,53.0467,34|38|34|25|52|21
0.4,81920,204800,greedy,81920,0,2.5,3.61989654e+00,3.61976409e+00,1.000037,0.107864,0.0,24|39|36|51|40|27
0.4,81920,204800,lagrangian,81920,0,2.5,3.61989654e+00,3.61976409e+00,1.000037,0.107864,0.0,24|39|36|51|40|27
0.4,81920,204800,knapsack_dp,81920,0,2.5,3.61989654e+00,3.61976409e+00,1.000037,0.107864,0.0,24|39|36|51|40|27
0.5,102400,204800,uniform,102400,0,2.0,3.13979535e+00,3.13966373e+00,1.000042,0.100456,63.3665,43|48|43|32|64|26
0.5,102400,204800,greedy,102272,128,2.0025,1.92945750e+00,1.92934848e+00,1.000057,0.078748,0.3915,32|47|44|60|52|34
0.5,102400,204800,lagrangian,102272,128,2.0025,1.92945750e+00,1.92934848e+00,1.000057,0.078748,0.3915,32|47|44|60|52|34
0.5,102400,204800,knapsack_dp,102400,0,2.0,1.92193324e+00,1.92182382e+00,1.000057,0.078595,0.0,33|47|44|59|52|34
