spectrum,activation_cond,spiked_channels,quant_bits,achieved_compression,effective_bits,quantize_only_error,quantize_only_std,best_lowrank_family_error,best_lowrank_family_std,best_lowrank_config,winner,ratio_lowrank_over_quant,n_seeds
isotropic control,1.0,0,8,1.9845,8.0625,0.006014,1.8e-05,0.151464,0.000474,"r=169,b=6",quantize,25.1849,3
isotropic control,1.0,0,6,2.6392,6.0625,0.024625,0.000106,0.212686,0.00076,"r=190,b=4",quantize,8.6371,3
isotropic control,1.0,0,4,3.9385,4.0625,0.10874,0.000339,0.292549,0.000686,"r=127,b=4",quantize,2.6904,3
isotropic control,1.0,0,3,5.2245,3.0625,0.254758,0.000737,0.381447,0.000816,"r=95,b=4",quantize,1.4973,3
isotropic control,1.0,0,2,7.7576,2.0625,0.723142,0.002944,0.507617,0.000959,"r=84,b=3",lowrank,0.702,3
anisotropic,100000.0,0,8,1.9845,8.0625,0.002562,1.8e-05,0.032508,0.000538,"r=127,b=8",quantize,12.6882,3
anisotropic,100000.0,0,6,2.6392,6.0625,0.010457,0.000102,0.054645,0.000932,"r=127,b=6",quantize,5.2254,3
anisotropic,100000.0,0,4,3.9385,4.0625,0.046294,0.000371,0.105217,0.000935,"r=84,b=6",quantize,2.2728,3
anisotropic,100000.0,0,3,5.2245,3.0625,0.108553,0.000768,0.176206,0.00134,"r=63,b=6",quantize,1.6232,3
anisotropic,100000.0,0,2,7.7576,2.0625,0.329323,0.002705,0.223874,0.002374,"r=63,b=4",lowrank,0.6798,3
anisotropic + 4 spiked,100000.0,4,8,1.9845,8.0625,0.001309,1.5e-05,0.022231,0.000239,"r=127,b=8",quantize,16.9794,3
anisotropic + 4 spiked,100000.0,4,6,2.6392,6.0625,0.005375,0.00011,0.032213,0.00026,"r=95,b=8",quantize,5.9936,3
anisotropic + 4 spiked,100000.0,4,4,3.9385,4.0625,0.023825,0.000468,0.067083,0.00116,"r=63,b=8",quantize,2.8157,3
anisotropic + 4 spiked,100000.0,4,3,5.2245,3.0625,0.056086,0.00061,0.085899,0.000421,"r=63,b=6",quantize,1.5315,3
anisotropic + 4 spiked,100000.0,4,2,7.7576,2.0625,0.172101,0.000904,0.124225,0.001587,"r=42,b=6",lowrank,0.7218,3
strongly spiked,10000000.0,8,8,1.9845,8.0625,0.001082,1.8e-05,0.016147,0.000202,"r=127,b=8",quantize,14.9279,3
strongly spiked,10000000.0,8,6,2.6392,6.0625,0.004373,4.3e-05,0.017101,0.000293,"r=95,b=8",quantize,3.9108,3
strongly spiked,10000000.0,8,4,3.9385,4.0625,0.01953,5.7e-05,0.030405,0.00154,"r=63,b=8",quantize,1.5568,3
strongly spiked,10000000.0,8,3,5.2245,3.0625,0.046041,0.00033,0.051218,0.002878,"r=47,b=8",quantize,1.1125,3
strongly spiked,10000000.0,8,2,7.7576,2.0625,0.139329,0.001827,0.072497,0.00282,"r=42,b=6",lowrank,0.5203,3
