regime,cond_target,method,ridge_ratio,rank,params_dense,params_factored,compression_ratio,rel_error_calib_mean,rel_error_calib_std,rel_error_holdout_mean,rel_error_shift50_mean,rel_error_shift100_mean,rel_weight_error_mean,cond_m_mean,n_seeds
anisotropic,100000.0,plain SVD,,8,65536,4096,16.0,0.931067,0.001194,0.930437,0.932247,0.931087,0.929592,,5
anisotropic,100000.0,plain SVD,,16,65536,8192,8.0,0.863802,0.004454,0.863914,0.8646,0.864988,0.864037,,5
anisotropic,100000.0,plain SVD,,32,65536,16384,4.0,0.747746,0.004596,0.748915,0.746397,0.748138,0.746137,,5
anisotropic,100000.0,plain SVD,,48,65536,24576,2.6667,0.644079,0.004193,0.645355,0.642806,0.647618,0.643833,,5
anisotropic,100000.0,plain SVD,,64,65536,32768,2.0,0.553438,0.003299,0.554039,0.55252,0.555273,0.554984,,5
anisotropic,100000.0,plain SVD,,96,65536,49152,1.3333,0.411621,0.005751,0.41069,0.411101,0.409016,0.41044,,5
anisotropic,100000.0,plain SVD,,112,65536,57344,1.1429,0.351763,0.003756,0.351463,0.351746,0.352278,0.351705,,5
anisotropic,100000.0,whitened SVD,1e-06,8,65536,4096,16.0,0.78071,0.003591,0.805842,0.881539,0.957681,0.956815,2.8486e+05,5
anisotropic,100000.0,whitened SVD,1e-06,16,65536,8192,8.0,0.62376,0.003192,0.65849,0.793409,0.917511,0.916881,2.8486e+05,5
anisotropic,100000.0,whitened SVD,1e-06,32,65536,16384,4.0,0.401274,0.003696,0.441757,0.657645,0.841764,0.840608,2.8486e+05,5
anisotropic,100000.0,whitened SVD,1e-06,48,65536,24576,2.6667,0.260316,0.002842,0.299149,0.560704,0.770017,0.769678,2.8486e+05,5
anisotropic,100000.0,whitened SVD,1e-06,64,65536,32768,2.0,0.168886,0.001364,0.202467,0.48538,0.704613,0.702144,2.8486e+05,5
anisotropic,100000.0,whitened SVD,1e-06,96,65536,49152,1.3333,0.071574,0.000399,0.091867,0.373191,0.577281,0.575915,2.8486e+05,5
anisotropic,100000.0,whitened SVD,1e-06,112,65536,57344,1.1429,0.04632,0.000543,0.061851,0.329951,0.516341,0.51604,2.8486e+05,5
anisotropic,100000.0,whitened SVD,0.0001,8,65536,4096,16.0,0.78071,0.003591,0.805842,0.881538,0.95768,0.956814,2.8486e+05,5
anisotropic,100000.0,whitened SVD,0.0001,16,65536,8192,8.0,0.62376,0.003192,0.65849,0.793408,0.91751,0.91688,2.8486e+05,5
anisotropic,100000.0,whitened SVD,0.0001,32,65536,16384,4.0,0.401274,0.003696,0.441756,0.657642,0.84176,0.840604,2.8486e+05,5
anisotropic,100000.0,whitened SVD,0.0001,48,65536,24576,2.6667,0.260316,0.002842,0.299149,0.560697,0.770007,0.769668,2.8486e+05,5
anisotropic,100000.0,whitened SVD,0.0001,64,65536,32768,2.0,0.168886,0.001364,0.202466,0.485365,0.704592,0.702122,2.8486e+05,5
anisotropic,100000.0,whitened SVD,0.0001,96,65536,49152,1.3333,0.071574,0.000399,0.091864,0.373134,0.577187,0.575822,2.8486e+05,5
