damping_ratio,cholesky_failures,condition_number_mean,output_error_mean,rtn_reference,improvement_over_rtn
0.0,5,,,7.635998,
1e-08,0,2.0840e+09,2.237035,7.635998,3.4134
1e-06,0,2.0840e+07,2.088923,7.635998,3.6555
1e-05,0,2.0840e+06,2.036355,7.635998,3.7498
0.0001,0,2.0840e+05,2.0216,7.635998,3.7772
0.001,0,2.0841e+04,2.012805,7.635998,3.7937
0.01,0,2.0850e+03,2.042971,7.635998,3.7377
0.1,0,2.0940e+02,2.347812,7.635998,3.2524
1.0,0,2.1840e+01,3.524917,7.635998,2.1663
10.0,0,3.0840e+00,5.847287,7.635998,1.3059
