bits,method,layer,local_error,predicted,measured,predicted_over_measured
4,rtn,1,3.660734,3.660734,3.660734,1.0
4,rtn,2,1.85917,5.545395,2.712438,2.0444
4,rtn,3,0.998502,6.569577,1.700934,3.8623
4,rtn,4,0.516622,7.150335,1.016691,7.033
4,rtn,5,0.244414,7.450272,0.561301,13.2732
4,rtn,6,0.129501,7.655643,0.30703,24.9345
4,rtn,7,0.062459,7.813242,0.16865,46.3281
4,rtn,8,0.034672,8.033808,0.096624,83.1454
4,rtn,9,0.016596,8.138572,0.051963,156.6209
4,rtn,10,0.008745,8.237762,0.027739,296.9752
4,sequential,1,1.439453,1.439453,1.439453,1.0
4,sequential,2,0.663675,2.152843,1.004052,2.1442
4,sequential,3,0.314685,2.49962,0.605138,4.1307
4,sequential,4,0.154781,2.77627,0.356503,7.7875
4,sequential,5,0.067988,2.92059,0.189314,15.4272
4,sequential,6,0.033816,3.017975,0.101958,29.6003
4,sequential,7,0.015309,3.070526,0.055111,55.7153
4,sequential,8,0.00767,3.125483,0.030485,102.5248
4,sequential,9,0.003812,3.155943,0.015839,199.2518
4,sequential,10,0.001762,3.236153,0.008202,394.5428
3,rtn,1,8.439922,8.439922,8.439922,1.0
3,rtn,2,4.32616,13.144043,6.000685,2.1904
3,rtn,3,2.271654,16.162343,3.881698,4.1637
3,rtn,4,1.218271,18.018688,2.395475,7.522
3,rtn,5,0.552065,19.220271,1.346389,14.2754
3,rtn,6,0.294748,20.458979,0.764671,26.7553
3,rtn,7,0.146503,21.359265,0.435768,49.0152
3,rtn,8,0.078979,22.335084,0.25659,87.0458
3,rtn,9,0.040043,22.821018,0.140514,162.4107
3,rtn,10,0.019406,23.456766,0.077529,302.5537
3,sequential,1,3.404514,3.404514,3.404514,1.0
3,sequential,2,1.577431,5.644766,2.541152,2.2213
3,sequential,3,0.736597,7.591752,1.595147,4.7593
3,sequential,4,0.361254,9.329824,0.941206,9.9126
3,sequential,5,0.160144,10.56118,0.505616,20.8877
3,sequential,6,0.079876,12.479068,0.28247,44.1784
3,sequential,7,0.036044,14.452076,0.157716,91.6337
3,sequential,8,0.018316,17.183233,0.08982,191.3078
3,sequential,9,0.008892,19.89452,0.047714,416.9577
3,sequential,10,0.004057,22.661439,0.025555,886.7765
