n_stops,seed,depth,variant,value,best_move,expansions,generated,ebf,nominal_b,sqrt_nominal_b,seconds
9,0,4,minimax,3,1,3610,3609,7.4782,9,3.0,0.00752
9,0,4,alpha-beta,3,1,256,255,3.6982,9,3.0,0.00052
9,0,4,alpha-beta+ordering,3,1,211,210,3.5061,9,3.0,0.00059
9,0,4,alpha-beta+ordering+tt,3,1,211,210,3.5061,9,3.0,0.00063
9,0,4,alpha-beta+iterative-deepening,3,1,402,398,4.1744,9,3.0,0.00125
9,0,6,minimax,8,9,79210,79209,6.3694,9,3.0,0.14116
9,0,6,alpha-beta,8,9,2611,2610,3.5091,9,3.0,0.00485
9,0,6,alpha-beta+ordering,8,9,1689,1688,3.2456,9,3.0,0.00393
9,0,6,alpha-beta+ordering+tt,8,9,1425,1424,3.1477,9,3.0,0.00451
9,0,6,alpha-beta+iterative-deepening,8,9,2168,2162,3.393,9,3.0,0.00605
9,0,8,minimax,12,2,623530,623529,5.1602,9,3.0,0.88931
9,0,8,alpha-beta,12,2,9164,9163,2.9716,9,3.0,0.0146
9,0,8,alpha-beta+ordering,12,2,5603,5602,2.7821,9,3.0,0.01078
9,0,8,alpha-beta+ordering+tt,12,2,2725,2724,2.5237,9,3.0,0.00623
9,0,8,alpha-beta+iterative-deepening,12,2,6219,6211,2.821,9,3.0,0.01564
9,1,4,minimax,8,8,3610,3609,7.4782,9,3.0,0.00715
9,1,4,alpha-beta,8,8,674,673,4.8071,9,3.0,0.00138
9,1,4,alpha-beta+ordering,8,8,263,262,3.7257,9,3.0,0.00077
9,1,4,alpha-beta+ordering+tt,8,8,263,262,3.7257,9,3.0,0.00081
9,1,4,alpha-beta+iterative-deepening,8,8,377,373,4.1018,9,3.0,0.00129
9,1,6,minimax,11,8,79210,79209,6.3694,9,3.0,0.14149
9,1,6,alpha-beta,11,8,4864,4863,3.9191,9,3.0,0.0092
9,1,6,alpha-beta+ordering,11,8,1443,1442,3.1548,9,3.0,0.00334
9,1,6,alpha-beta+ordering+tt,11,8,1220,1219,3.0604,9,3.0,0.00311
9,1,6,alpha-beta+iterative-deepening,11,8,1897,1891,3.3125,9,3.0,0.0054
9,1,8,minimax,17,8,623530,623529,5.1602,9,3.0,0.88978
9,1,8,alpha-beta,17,8,22903,22902,3.3557,9,3.0,0.03637
9,1,8,alpha-beta+ordering,17,8,4647,4646,2.7129,9,3.0,0.00869
9,1,8,alpha-beta+ordering+tt,17,8,2375,2374,2.4769,9,3.0,0.00539
9,1,8,alpha-beta+iterative-deepening,17,8,5690,5682,2.7874,9,3.0,0.01407
9,2,4,minimax,4,1,3610,3609,7.4782,9,3.0,0.00754
9,2,4,alpha-beta,4,1,514,513,4.47,9,3.0,0.00109
9,2,4,alpha-beta+ordering,4,1,294,293,3.8413,9,3.0,0.00083
9,2,4,alpha-beta+ordering+tt,4,1,294,293,3.8413,9,3.0,0.00087
9,2,4,alpha-beta+iterative-deepening,4,1,432,428,4.2572,9,3.0,0.00142
9,2,6,minimax,14,1,79210,79209,6.3694,9,3.0,0.14163
9,2,6,alpha-beta,14,1,5173,5172,3.9619,9,3.0,0.00976
9,2,6,alpha-beta+ordering,14,1,1640,1639,3.2285,9,3.0,0.00388
9,2,6,alpha-beta+ordering+tt,14,1,1313,1312,3.1014,9,3.0,0.00337
9,2,6,alpha-beta+iterative-deepening,14,1,1879,1873,3.3068,9,3.0,0.00517
9,2,8,minimax,17,1,623530,623529,5.1602,9,3.0,0.8937
9,2,8,alpha-beta,17,1,25114,25113,3.3967,9,3.0,0.03954
9,2,8,alpha-beta+ordering,17,1,5359,5358,2.7655,9,3.0,0.01012
9,2,8,alpha-beta+ordering+tt,17,1,2691,2690,2.5194,9,3.0,0.00614
9,2,8,alpha-beta+iterative-deepening,17,1,5274,5266,2.7591,9,3.0,0.01345
9,3,4,minimax,18,6,3610,3609,7.4782,9,3.0,0.00736
9,3,4,alpha-beta,18,6,773,772,4.9863,9,3.0,0.00166
9,3,4,alpha-beta+ordering,18,6,272,271,3.7603,9,3.0,0.00075
9,3,4,alpha-beta+ordering+tt,18,6,272,271,3.7603,9,3.0,0.00082
9,3,4,alpha-beta+iterative-deepening,18,6,339,335,3.9839,9,3.0,0.00103
9,3,6,minimax,17,7,79210,79209,6.3694,9,3.0,0.14156
9,3,6,alpha-beta,17,7,10685,10684,4.5007,9,3.0,0.02018
9,3,6,alpha-beta+ordering,17,7,1110,1109,3.0084,9,3.0,0.00258
9,3,6,alpha-beta+ordering+tt,17,7,907,906,2.8998,9,3.0,0.00224
9,3,6,alpha-beta+iterative-deepening,17,7,2020,2014,3.3502,9,3.0,0.00567
9,3,8,minimax,10,7,623530,623529,5.1602,9,3.0,0.88941
