horizon,seed,instance,heuristic,consistent,h_at_root,optimum,expansions,expansions_below_cstar,generated,re_expansions,max_frontier,depth,ebf,seconds
5,0,rand-n5-s0,h0-zero,1,0,189,94,93,177,0,46,8,1.7148,0.00049
5,0,rand-n5-s0,h1-farthest,1,54,189,62,60,136,0,48,8,1.6483,0.00038
5,0,rand-n5-s0,h2-mst,1,117,189,48,45,115,0,51,8,1.6068,0.00147
5,0,rand-n5-s0,hx-inconsistent,0,117,189,73,70,147,3,46,8,1.6678,0.00084
5,1,rand-n5-s1,h0-zero,1,0,157,221,217,514,0,114,7,2.2433,0.00126
5,1,rand-n5-s1,h1-farthest,1,50,157,51,49,151,0,77,7,1.8334,0.00039
5,1,rand-n5-s1,h2-mst,1,90,157,19,14,56,0,35,7,1.5413,0.00043
5,1,rand-n5-s1,hx-inconsistent,0,90,157,73,70,190,2,83,7,1.9058,0.001
5,2,rand-n5-s2,h0-zero,1,0,179,201,200,383,0,75,8,1.9198,0.00091
5,2,rand-n5-s2,h1-farthest,1,36,179,139,137,302,0,78,8,1.855,0.00078
5,2,rand-n5-s2,h2-mst,1,119,179,65,62,149,0,55,8,1.6712,0.00096
5,2,rand-n5-s2,hx-inconsistent,0,119,179,110,109,229,4,67,8,1.7815,0.0012
5,3,rand-n5-s3,h0-zero,1,0,181,152,151,322,0,62,7,2.0795,0.00075
5,3,rand-n5-s3,h1-farthest,1,52,181,69,67,187,0,66,7,1.9007,0.00046
5,3,rand-n5-s3,h2-mst,1,122,181,39,36,113,0,54,7,1.7448,0.00074
5,3,rand-n5-s3,hx-inconsistent,0,122,181,77,75,179,1,64,7,1.8868,0.00099
5,4,rand-n5-s4,h0-zero,1,0,197,105,104,240,0,73,7,1.9813,0.00056
5,4,rand-n5-s4,h1-farthest,1,54,197,45,43,117,0,45,7,1.7553,0.0003
5,4,rand-n5-s4,h2-mst,1,107,197,23,20,64,0,31,7,1.5789,0.00044
5,4,rand-n5-s4,hx-inconsistent,0,107,197,48,47,117,3,49,7,1.7553,0.00061
5,5,rand-n5-s5,h0-zero,1,0,173,164,163,351,0,72,7,2.109,0.00083
5,5,rand-n5-s5,h1-farthest,1,54,173,88,86,250,0,73,7,1.9948,0.00061
5,5,rand-n5-s5,h2-mst,1,109,173,71,69,212,0,78,7,1.9409,0.00143
5,5,rand-n5-s5,hx-inconsistent,0,109,173,111,109,277,6,73,7,2.0288,0.0013
5,6,rand-n5-s6,h0-zero,1,0,149,138,137,308,0,64,7,2.0644,0.00072
5,6,rand-n5-s6,h1-farthest,1,42,149,98,96,240,0,69,7,1.9813,0.0006
5,6,rand-n5-s6,h2-mst,1,86,149,86,84,218,0,64,7,1.95,0.00127
5,6,rand-n5-s6,hx-inconsistent,0,86,149,115,114,263,3,68,7,2.0115,0.00122
5,7,rand-n5-s7,h0-zero,1,0,178,181,180,339,0,78,7,2.097,0.00081
5,7,rand-n5-s7,h1-farthest,1,40,178,136,134,291,0,75,7,2.0453,0.00077
5,7,rand-n5-s7,h2-mst,1,112,178,83,80,203,0,71,7,1.927,0.00123
5,7,rand-n5-s7,hx-inconsistent,0,112,178,135,133,275,11,64,7,2.0264,0.00137
5,8,rand-n5-s8,h0-zero,1,0,146,170,168,323,0,62,7,2.0806,0.00078
5,8,rand-n5-s8,h1-farthest,1,46,146,100,98,224,0,67,7,1.9588,0.00059
5,8,rand-n5-s8,h2-mst,1,102,146,40,34,111,0,56,7,1.7395,0.00076
5,8,rand-n5-s8,hx-inconsistent,0,102,146,90,88,196,2,57,7,1.9157,0.00106
