horizon,heuristic,ground_truth,instances,optimal_found_pct,feasible_instances,mean_expansions,max_expansions,mean_generated,mean_ebf,mean_re_expansions,mean_seconds,budget_exceeded
3,h0,brute-force,12,100.0,12,22.4,27,35.6,1.9259,0.0,0.00016,0
3,h1,brute-force,12,100.0,12,11.9,17,21.6,1.659,0.0,7e-05,0
3,h2,brute-force,12,100.0,12,8.2,13,15.0,1.4873,0.0,0.00012,0
3,hx,brute-force,12,100.0,12,12.3,17,21.3,1.6537,0.083,0.00014,0
4,h0,brute-force,12,100.0,12,66.3,97,120.8,1.9981,0.0,0.0003,0
4,h1,brute-force,12,100.0,12,37.8,60,81.5,1.8402,0.0,0.00023,0
4,h2,brute-force,12,100.0,12,23.2,42,52.3,1.6758,0.0,0.00036,0
4,hx,brute-force,12,100.0,12,38.3,59,77.0,1.8227,1.0,0.00044,0
5,h0,brute-force,12,100.0,12,155.8,221,317.5,2.0169,0.0,0.00078,0
5,h1,brute-force,12,100.0,12,89.4,139,210.5,1.8838,0.0,0.00057,0
5,h2,brute-force,12,100.0,12,52.0,86,133.3,1.7371,0.0,0.0009,0
5,hx,brute-force,12,100.0,12,91.2,135,203.2,1.8765,4.0,0.00112,0
6,h0,brute-force,12,100.0,12,386.4,563,832.2,1.9902,0.0,0.00225,0
6,h1,brute-force,12,100.0,12,200.3,402,519.9,1.861,0.0,0.0015,0
6,h2,brute-force,12,100.0,12,84.7,189,244.8,1.6743,0.0,0.00179,0
6,hx,brute-force,12,100.0,12,191.5,341,468.2,1.8388,13.25,0.00268,0
7,h0,brute-force,12,100.0,12,831.6,1239,1896.8,1.9692,0.0,0.0054,0
7,h1,brute-force,12,100.0,12,503.4,1063,1375.9,1.8953,0.0,0.00436,0
7,h2,brute-force,12,100.0,12,215.4,427,668.2,1.7441,0.0,0.0082,0
7,hx,brute-force,12,100.0,12,442.8,794,1136.2,1.8566,46.333,0.00646,0
8,h1,h1-vs-h2 agreement,6,100.0,6,680.5,980,1831.2,1.7623,0.0,0.0063,0
8,h2,h1-vs-h2 agreement,6,100.0,6,283.0,390,890.8,1.6478,0.0,0.00772,0
10,h1,h1-vs-h2 agreement,6,100.0,6,3293.0,5230,9556.0,1.7735,0.0,0.03936,0
10,h2,h1-vs-h2 agreement,6,100.0,6,1017.7,1996,3813.5,1.6389,0.0,0.03536,0
12,h1,h1-vs-h2 agreement,6,100.0,6,6928.3,11935,22295.8,1.6777,0.0,0.10214,0
12,h2,h1-vs-h2 agreement,6,100.0,6,1476.8,2829,6671.5,1.5496,0.0,0.07201,0
14,h2,none (search cost only),5,,5,5330.8,14291,24043.8,1.5497,0.0,0.32489,0
16,h2,none (search cost only),5,,5,20359.4,27502,95359.4,1.5821,0.0,1.6813,0
18,h2,"wall probe, budget 2000000 generated",1,,1,27418.0,27418,157173.0,1.5482,0.0,3.0561,0
20,h2,"wall probe, budget 2000000 generated",1,,1,395460.0,395460,1645500.0,1.6105,0.0,32.79196,0
22,h2,"wall probe, budget 2000000 generated",1,,1,232469.0,232469,1177487.0,1.4953,0.0,25.1992,0
24,h2,"wall probe, budget 2000000 generated",1,,0,307246.0,307246,2000001.0,0.0,0.0,49.29829,1
