prior,mode,grid,sampler,n_steps,h_max,nfe,error,mc_floor,pairwise_order,fitted_slope,fit_residual_decades,fit_n_min,fit_n_max,flow_map_condition
canonical,ode_trajectory,uniform_logsnr,euler_ode,8,0.2319508,8,0.11914935751449014,,,0.9925,0.00169,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,euler_ode,16,0.12020945,16,0.0666309894815009,,0.8385,0.9925,0.00169,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,euler_ode,32,0.06036613,32,0.03442132823906046,,0.9529,0.9925,0.00169,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,euler_ode,64,0.03027544,64,0.017491212179248723,,0.9767,0.9925,0.00169,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,euler_ode,128,0.01513864,128,0.008815407001079844,,0.9885,0.9925,0.00169,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,euler_ode,256,0.00757167,256,0.004425109969780628,,0.9943,0.9925,0.00169,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,euler_ode,512,0.00378611,512,0.002216900654963076,,0.9972,0.9925,0.00169,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,euler_ode,1024,0.00189308,1024,0.001109535957162253,,0.9986,0.9925,0.00169,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,heun,8,0.2319508,16,0.027405835989388443,,,2.0169,0.00404,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,heun,16,0.12020945,32,0.007029671814945196,,1.963,2.0169,0.00404,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,heun,32,0.06036613,64,0.0016631772046001665,,2.0795,2.0169,0.00404,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,heun,64,0.03027544,128,0.0004046898473387698,,2.0391,2.0169,0.00404,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,heun,128,0.01513864,256,9.965452373099438e-05,,2.0218,2.0169,0.00404,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,heun,256,0.00757167,512,2.4716338720699765e-05,,2.0115,2.0169,0.00404,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,heun,512,0.00378611,1024,6.153977482172465e-06,,2.0059,2.0169,0.00404,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,heun,1024,0.00189308,2048,1.5353291014516078e-06,,2.003,2.0169,0.00404,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,exponential_1,8,0.2319508,8,0.3175620277590077,,,0.9957,0.00096,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,exponential_1,16,0.12020945,16,0.16727334072901556,,0.9248,0.9957,0.00096,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,exponential_1,32,0.06036613,32,0.08538186148743636,,0.9702,0.9957,0.00096,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,exponential_1,64,0.03027544,64,0.04313070715756507,,0.9852,0.9957,0.00096,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,exponential_1,128,0.01513864,128,0.021671707887559594,,0.9929,0.9957,0.00096,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,exponential_1,256,0.00757167,256,0.010861615783947233,,0.9966,0.9957,0.00096,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,exponential_1,512,0.00378611,512,0.005437115936723963,,0.9983,0.9957,0.00096,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,exponential_1,1024,0.00189308,1024,0.0027201164932649903,,0.9992,0.9957,0.00096,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,exponential_2,8,0.2319508,16,0.12097202054097371,,,2.0146,0.00372,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,exponential_2,16,0.12020945,32,0.029169190257279532,,2.0522,2.0146,0.00372,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,exponential_2,32,0.06036613,64,0.006949328369481699,,2.0695,2.0146,0.00372,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,exponential_2,64,0.03027544,128,0.0016954738450021731,,2.0352,2.0146,0.00372,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,exponential_2,128,0.01513864,256,0.0004185552281106141,,2.0182,2.0146,0.00372,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,exponential_2,256,0.00757167,512,0.00010396987762965983,,2.0093,2.0146,0.00372,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,exponential_2,512,0.00378611,1024,2.5908571013433192e-05,,2.0047,2.0146,0.00372,32,1024,4.5555
canonical,ode_trajectory,uniform_logsnr,exponential_2,1024,0.00189308,2048,6.466638428846137e-06,,2.0023,2.0146,0.00372,32,1024,4.5555
canonical,ode_trajectory,uniform_t,euler_ode,8,0.124875,8,0.058147771995162155,,,1.0092,0.0024,32,1024,4.5555
canonical,ode_trajectory,uniform_t,euler_ode,16,0.0624375,16,0.024753206190002923,,1.2321,1.0092,0.0024,32,1024,4.5555
canonical,ode_trajectory,uniform_t,euler_ode,32,0.03121875,32,0.01180453821555352,,1.0683,1.0092,0.0024,32,1024,4.5555
canonical,ode_trajectory,uniform_t,euler_ode,64,0.01560938,64,0.005789916784364854,,1.0277,1.0092,0.0024,32,1024,4.5555
canonical,ode_trajectory,uniform_t,euler_ode,128,0.00780469,128,0.002870089922530924,,1.0124,1.0092,0.0024,32,1024,4.5555
canonical,ode_trajectory,uniform_t,euler_ode,256,0.00390234,256,0.0014292116476399361,,1.0059,1.0092,0.0024,32,1024,4.5555
canonical,ode_trajectory,uniform_t,euler_ode,512,0.00195117,512,0.0007131945516908404,,1.0029,1.0092,0.0024,32,1024,4.5555
canonical,ode_trajectory,uniform_t,euler_ode,1024,0.00097559,1024,0.0003562502883188713,,1.0014,1.0092,0.0024,32,1024,4.5555
canonical,ode_trajectory,uniform_t,heun,8,0.124875,16,0.03145538490020301,,,1.9919,0.00244,32,1024,4.5555
canonical,ode_trajectory,uniform_t,heun,16,0.0624375,32,0.007688204142069997,,2.0326,1.9919,0.00244,32,1024,4.5555
canonical,ode_trajectory,uniform_t,heun,32,0.03121875,64,0.002018190914497064,,1.9296,1.9919,0.00244,32,1024,4.5555
canonical,ode_trajectory,uniform_t,heun,64,0.01560938,128,0.0005144133964176923,,1.9721,1.9919,0.00244,32,1024,4.5555
canonical,ode_trajectory,uniform_t,heun,128,0.00780469,256,0.0001295519680700035,,1.9894,1.9919,0.00244,32,1024,4.5555
canonical,ode_trajectory,uniform_t,heun,256,0.00390234,512,3.248611726524571e-05,,1.9956,1.9919,0.00244,32,1024,4.5555
canonical,ode_trajectory,uniform_t,heun,512,0.00195117,1024,8.132462279207416e-06,,1.9981,1.9919,0.00244,32,1024,4.5555
canonical,ode_trajectory,uniform_t,heun,1024,0.00097559,2048,2.034397665580772e-06,,1.9991,1.9919,0.00244,32,1024,4.5555
canonical,ode_trajectory,uniform_t,exponential_1,8,0.124875,8,0.21383553567220626,,,0.9949,0.00114,32,1024,4.5555
canonical,ode_trajectory,uniform_t,exponential_1,16,0.0624375,16,0.1093758166835027,,0.9672,0.9949,0.00114,32,1024,4.5555
canonical,ode_trajectory,uniform_t,exponential_1,32,0.03121875,32,0.05558691843395071,,0.9765,0.9949,0.00114,32,1024,4.5555
