sampler,nfe,steps,rejected,rtol,traj_rmse,w1,energy,mode_tv,mean_error,var_error,skew_error
exact_map,0,0,0,,0.0,4.358e-05,2e-08,0.00136719,4.247e-05,9.165e-05,4.86e-05
euler_maruyama,8,8,0,,,0.0722853,0.0023244,0.01113281,0.01036229,0.09410191,0.06567222
euler_maruyama,12,12,0,,,0.05465796,0.00137163,0.00612793,8.251e-05,0.05111909,0.01718784
euler_maruyama,16,16,0,,,0.0421045,0.00082213,0.00341797,0.0020697,0.02753215,0.01509717
euler_maruyama,24,24,0,,,0.03013225,0.00046247,0.00583496,0.00272544,0.04166553,0.02791543
euler_maruyama,32,32,0,,,0.02962895,0.00049729,0.01162109,0.0082025,0.0163177,0.02164445
euler_maruyama,48,48,0,,,0.02115809,0.00028114,0.00390625,0.01347278,0.01778326,0.0209124
euler_maruyama,64,64,0,,,0.0170902,0.00017341,0.00686035,0.0147391,0.00144414,0.01490758
euler_maruyama,96,96,0,,,0.01910105,0.00018709,0.00424805,0.01865835,0.00304745,0.00434971
euler_maruyama,128,128,0,,,0.01435113,0.00012443,0.00588379,0.01345114,0.0050982,0.00441035
euler_maruyama,192,192,0,,,0.01413882,0.00013882,0.00454102,0.00937635,0.02079958,0.01227715
euler_maruyama,256,256,0,,,0.01923902,0.00021589,0.00292969,0.01503797,0.00434927,0.00674094
euler_maruyama,384,384,0,,,0.0173485,0.000179,0.00744629,0.01662735,0.007916,0.00770936
euler_maruyama,512,512,0,,,0.01030219,6.609e-05,0.00375977,0.00881347,0.00212306,0.0102407
euler_ode,8,8,0,,0.11912261,0.08784523,0.00507002,0.04934082,0.00224613,0.18886421,0.01276012
euler_ode,12,12,0,,0.08672143,0.06159706,0.00259748,0.03579102,0.00158699,0.13098102,0.00908041
euler_ode,16,16,0,,0.06664012,0.04662654,0.00150897,0.02724609,0.00128454,0.09842176,0.0067666
euler_ode,24,24,0,,0.04540279,0.03120753,0.0006852,0.0185791,0.00092343,0.06539658,0.00444589
euler_ode,32,32,0,,0.03442973,0.02343478,0.00038919,0.01418457,0.00072312,0.04892912,0.00330243
euler_ode,48,48,0,,0.02320372,0.01563379,0.0001745,0.00979004,0.00050986,0.03252973,0.00216978
euler_ode,64,64,0,,0.01749646,0.01172853,9.856e-05,0.00759277,0.00039821,0.02436796,0.00160866
euler_ode,96,96,0,,0.01172662,0.007824,4.4e-05,0.00551758,0.00028312,0.0162379,0.00105161
euler_ode,128,128,0,,0.0088183,0.00587181,2.481e-05,0.00429687,0.00022428,0.01218624,0.00077473
euler_ode,192,192,0,,0.0058944,0.00391983,1.107e-05,0.00319824,0.00016456,0.00814427,0.00049904
euler_ode,256,256,0,,0.00442662,0.00294405,6.25e-06,0.00258789,0.00013437,0.00612709,0.00036165
euler_ode,384,384,0,,0.00295496,0.00196883,2.8e-06,0.00209961,0.00010396,0.00411255,0.00022458
euler_ode,512,512,0,,0.00221767,0.00148147,1.59e-06,0.00185547,8.867e-05,0.00310629,0.00015616
heun,8,4,0,,0.05276768,0.04364231,0.00130507,0.01120605,0.0042729,0.06947298,0.01248309
