section,sampler,nfe,w1,energy,mode_tv,conditioning_time,prob_level,conditional_std,mode_entropy_bits,n_modes_reached,roundtrip_rmse
accuracy,exact_iid_samples,0,0.02026621,,,,,,,,
accuracy,euler_maruyama,16,0.04453876,0.0009447274,0.0073,,,,,,
accuracy,euler_maruyama,32,0.024425,0.0003829771,0.003027,,,,,,
accuracy,euler_maruyama,64,0.01814091,0.0001996524,0.003687,,,,,,
accuracy,euler_maruyama,128,0.01634855,0.0001466668,0.0073,,,,,,
accuracy,euler_maruyama,256,0.01169781,9.16385e-05,0.004639,,,,,,
accuracy,euler_maruyama,512,0.01185913,7.92391e-05,0.003906,,,,,,
accuracy,euler_ode,16,0.04662654,0.0015089723,0.027246,,,,,,
accuracy,euler_ode,32,0.02343478,0.0003891862,0.014185,,,,,,
accuracy,euler_ode,64,0.01172853,9.85645e-05,0.007593,,,,,,
accuracy,euler_ode,128,0.00587181,2.48145e-05,0.004297,,,,,,
accuracy,euler_ode,256,0.00294405,6.2482e-06,0.002588,,,,,,
accuracy,euler_ode,512,0.00148147,1.5853e-06,0.001855,,,,,,
accuracy,heun,16,0.02348053,0.0002995745,0.007227,,,,,,
accuracy,heun,32,0.00655213,1.88193e-05,0.002832,,,,,,
accuracy,heun,64,0.00157086,1.1273e-06,0.001611,,,,,,
accuracy,heun,128,0.00038989,8.65e-08,0.001367,,,,,,
accuracy,heun,256,0.00010518,2.2e-08,0.001367,,,,,,
accuracy,heun,512,5.167e-05,1.75e-08,0.001367,,,,,,
diversity,prior_marginal,0,,,,,,1.33375,1.558872,3,
diversity,euler_maruyama,128,,,,1.0,0.2,1.3107426,1.557398,3,
diversity,euler_maruyama,128,,,,1.0,0.5,1.35162425,1.566383,3,
diversity,euler_maruyama,128,,,,1.0,0.8,1.35147457,1.566881,3,
diversity,euler_ode,128,,,,1.0,0.2,0.0,0.0,1,
diversity,euler_ode,128,,,,1.0,0.5,0.0,0.0,1,
diversity,euler_ode,128,,,,1.0,0.8,0.0,0.0,1,
diversity,euler_maruyama,128,,,,0.6,0.2,1.29834473,1.510014,3,
diversity,euler_maruyama,128,,,,0.6,0.5,1.29720631,1.552263,3,
diversity,euler_maruyama,128,,,,0.6,0.8,1.29645646,1.554787,3,
diversity,euler_ode,128,,,,0.6,0.2,0.0,0.0,1,
diversity,euler_ode,128,,,,0.6,0.5,0.0,0.0,1,
diversity,euler_ode,128,,,,0.6,0.8,0.0,0.0,1,
diversity,euler_maruyama,128,,,,0.4,0.2,1.13819352,1.296836,3,
diversity,euler_maruyama,128,,,,0.4,0.5,1.20804557,1.490859,3,
diversity,euler_maruyama,128,,,,0.4,0.8,1.14007977,1.429589,3,
diversity,euler_ode,128,,,,0.4,0.2,0.0,0.0,1,
diversity,euler_ode,128,,,,0.4,0.5,0.0,0.0,1,
diversity,euler_ode,128,,,,0.4,0.8,0.0,0.0,1,
diversity,euler_maruyama,128,,,,0.25,0.2,0.75016221,0.824624,3,
diversity,euler_maruyama,128,,,,0.25,0.5,0.86710591,1.196332,3,
diversity,euler_maruyama,128,,,,0.25,0.8,0.80606454,1.058191,3,
diversity,euler_ode,128,,,,0.25,0.2,0.0,0.0,1,
diversity,euler_ode,128,,,,0.25,0.5,0.0,0.0,1,
diversity,euler_ode,128,,,,0.25,0.8,0.0,0.0,1,
diversity,euler_maruyama,128,,,,0.15,0.2,0.42933543,0.291766,2,
diversity,euler_maruyama,128,,,,0.15,0.5,0.42154227,0.396238,3,
diversity,euler_maruyama,128,,,,0.15,0.8,0.55366462,0.829329,2,
diversity,euler_ode,128,,,,0.15,0.2,0.0,0.0,1,
diversity,euler_ode,128,,,,0.15,0.5,0.0,0.0,1,
diversity,euler_ode,128,,,,0.15,0.8,0.0,0.0,1,
diversity,euler_maruyama,128,,,,0.08,0.2,0.23911333,0.0,1,
diversity,euler_maruyama,128,,,,0.08,0.5,0.23487933,0.020393,2,
diversity,euler_maruyama,128,,,,0.08,0.8,0.25226885,0.275089,2,
diversity,euler_ode,128,,,,0.08,0.2,0.0,0.0,1,
diversity,euler_ode,128,,,,0.08,0.5,0.0,0.0,1,
diversity,euler_ode,128,,,,0.08,0.8,0.0,0.0,1,
diversity,euler_maruyama,128,,,,0.04,0.2,0.13619613,0.0,1,
diversity,euler_maruyama,128,,,,0.04,0.5,0.13880625,0.0,1,
diversity,euler_maruyama,128,,,,0.04,0.8,0.13271825,0.011174,2,
diversity,euler_ode,128,,,,0.04,0.2,0.0,0.0,1,
diversity,euler_ode,128,,,,0.04,0.5,0.0,0.0,1,
diversity,euler_ode,128,,,,0.04,0.8,0.0,0.0,1,
diversity,euler_maruyama,128,,,,0.02,0.2,0.07460494,0.0,1,
diversity,euler_maruyama,128,,,,0.02,0.5,0.07546699,0.0,1,
diversity,euler_maruyama,128,,,,0.02,0.8,0.07433451,0.0,1,
diversity,euler_ode,128,,,,0.02,0.2,0.0,0.0,1,
diversity,euler_ode,128,,,,0.02,0.5,0.0,0.0,1,
diversity,euler_ode,128,,,,0.02,0.8,0.0,0.0,1,
invertibility,heun,32,,,,,,,,,0.0225402467
invertibility,heun,64,,,,,,,,,0.0031625513
invertibility,heun,128,,,,,,,,,0.000425678
invertibility,heun,256,,,,,,,,,5.42385e-05
invertibility,heun,512,,,,,,,,,6.8122e-06
invertibility,euler_maruyama,,,,,,,,,,
