section,prior,grid,n_steps,prior_variance,stiffness_ratio,at_t,min_euler_factor,max_euler_factor,max_frozen_exact_factor,euler_stability_violated,max_amp_euler,max_amp_exponential,max_amp_exact,err_euler,err_heun,err_dpm1,err_dpm2,euler_over_dpm1,min_amp_euler,min_amp_exponential,amp_rel_err_euler,amp_rel_err_exponential,exponential_within_exact
stiffness,canonical,uniform_t,4,,0.5136,0.25075,0.486403,1.3976,1.4883,0,,,,,,,,,,,,,
stiffness,canonical,uniform_t,8,,0.7196,0.125875,0.536956,1.7196,2.0536,0,,,,,,,,,,,,,
stiffness,canonical,uniform_t,16,,0.6046,0.063438,0.768478,1.6046,1.8305,0,,,,,,,,,,,,,
stiffness,canonical,uniform_t,32,,0.3023,0.063438,0.87986,1.3023,1.3529,0,,,,,,,,,,,,,
stiffness,canonical,uniform_t,64,,0.1511,0.063438,0.93993,1.1511,1.1632,0,,,,,,,,,,,,,
stiffness,canonical,uniform_t,128,,0.0756,0.063438,0.969965,1.0756,1.0785,0,,,,,,,,,,,,,
stiffness,canonical,uniform_logsnr,4,,0.3796,0.304631,0.624929,1.3796,1.4617,0,,,,,,,,,,,,,
stiffness,canonical,uniform_logsnr,8,,0.5469,0.111881,0.694489,1.5469,1.7278,0,,,,,,,,,,,,,
stiffness,canonical,uniform_logsnr,16,,0.3479,0.111881,0.766496,1.3479,1.4161,0,,,,,,,,,,,,,
stiffness,canonical,uniform_logsnr,32,,0.1973,0.082998,0.871319,1.1973,1.2181,0,,,,,,,,,,,,,
stiffness,canonical,uniform_logsnr,64,,0.108,0.096515,0.931492,1.108,1.1141,0,,,,,,,,,,,,,
stiffness,canonical,uniform_logsnr,128,,0.0558,0.096515,0.964909,1.0558,1.0574,0,,,,,,,,,,,,,
stiffness,sharp,uniform_t,4,,1.2739,0.25075,0.324227,2.2739,3.5747,0,,,,,,,,,,,,,
stiffness,sharp,uniform_t,8,,4.6599,0.125875,0.176758,5.6599,105.6307,0,,,,,,,,,,,,,
stiffness,sharp,uniform_t,16,,2.33,0.125875,0.267423,3.33,10.2777,0,,,,,,,,,,,,,
stiffness,sharp,uniform_t,32,,1.7408,0.094656,0.515569,2.7408,5.7017,0,,,,,,,,,,,,,
stiffness,sharp,uniform_t,64,,0.8704,0.094656,0.757784,1.8704,2.3878,0,,,,,,,,,,,,,
stiffness,sharp,uniform_t,128,,0.4352,0.094656,0.877043,1.4352,1.5453,0,,,,,,,,,,,,,
stiffness,sharp,uniform_logsnr,4,,0.7508,0.304631,0.499946,1.7508,2.1187,0,,,,,,,,,,,,,
stiffness,sharp,uniform_logsnr,8,,3.8471,0.111881,0.405643,4.8471,46.8559,0,,,,,,,,,,,,,
stiffness,sharp,uniform_logsnr,16,,2.4473,0.111881,0.621898,3.4473,11.5575,0,,,,,,,,,,,,,
stiffness,sharp,uniform_logsnr,32,,1.3856,0.111881,0.785938,2.3856,3.997,0,,,,,,,,,,,,,
stiffness,sharp,uniform_logsnr,64,,0.7479,0.096515,0.885187,1.7479,2.1125,0,,,,,,,,,,,,,
stiffness,sharp,uniform_logsnr,128,,0.3989,0.103958,0.940713,1.3989,1.4902,0,,,,,,,,,,,,,
amplification,gaussian,uniform_logsnr,1,0.001,,,,,,,0.999569,0.010492,0.033315,,,,,,0.999569,0.010492,29.00367066,0.68505933,1
amplification,gaussian,uniform_logsnr,2,0.001,,,,,,,0.9997,0.784072,0.784313,,,,,,0.414653,0.014374,8.76193715,0.66160065,1
amplification,gaussian,uniform_logsnr,4,0.001,,,,,,,0.99988,0.997431,0.997433,,,,,,0.213943,0.146737,2.13401423,0.44502341,1
amplification,gaussian,uniform_logsnr,8,0.001,,,,,,,0.999945,0.999785,0.999785,,,,,,0.363364,0.325996,0.37866734,0.1283034,1
amplification,gaussian,uniform_logsnr,16,0.001,,,,,,,0.999973,0.99995,0.99995,,,,,,0.574208,0.56784,0.08060379,0.04155613,1
amplification,gaussian,uniform_logsnr,32,0.001,,,,,,,0.999987,0.999982,0.999982,,,,,,0.756284,0.754162,0.01844954,0.01107186,1
amplification,gaussian,uniform_logsnr,64,0.001,,,,,,,0.999993,0.999992,0.999992,,,,,,0.86914,0.868636,0.00451252,0.00279482,1
amplification,gaussian,uniform_logsnr,128,0.001,,,,,,,0.999997,0.999997,0.999997,,,,,,0.9322,0.932064,0.00110701,0.00069995,1
amplification,gaussian,uniform_logsnr,256,0.001,,,,,,,0.999998,0.999998,0.999998,,,,,,0.965488,0.965453,0.0002746,0.00017512,1
amplification,gaussian,uniform_logsnr,1024,0.001,,,,,,,1.0,1.0,1.0,,,,,,0.991255,0.991253,1.705e-05,1.095e-05,1
sharpness,gaussian,uniform_logsnr,16,1.0,,,,,,,,,,0.03065973930361327,0.007243852403863497,0.13895337651676865,0.024689256488980744,0.2206,,,,,
sharpness,gaussian,uniform_logsnr,16,0.3,,,,,,,,,,0.030936786129094108,0.00659916712134428,0.07610330871986336,0.01352206096895636,0.4065,,,,,
sharpness,gaussian,uniform_logsnr,16,0.1,,,,,,,,,,0.028106381564083384,0.0062294597449770745,0.043925881566512365,0.007804764794701168,0.6399,,,,,
sharpness,gaussian,uniform_logsnr,16,0.03,,,,,,,,,,0.02015688113195665,0.005523175992823835,0.024034637552431327,0.004270518688691942,0.8387,,,,,
sharpness,gaussian,uniform_logsnr,16,0.01,,,,,,,,,,0.01386460901845295,0.004349110626069949,0.013835917647734145,0.0024584146599634883,1.0021,,,,,
sharpness,gaussian,uniform_logsnr,16,0.003,,,,,,,,,,0.00937363465311909,0.0030054933931203264,0.007501824100007123,0.0013328502207124455,1.2495,,,,,
sharpness,gaussian,uniform_logsnr,16,0.001,,,,,,,,,,0.007120708704198774,0.0021048950354984664,0.004210827938528844,0.0007473193465331991,1.691,,,,,
sharpness,gaussian,uniform_logsnr,16,0.0001,,,,,,,,,,0.005748484091982436,0.0016615774537375519,0.000995920195576213,0.0001687634314067779,5.772,,,,,
sharpness,gaussian,uniform_logsnr,16,0.0,,,,,,,,,,0.005843983484800628,0.0021989382956511916,1.1464934308770758e-16,1.4063034209027022e-16,50972673086577.9,,,,,
