k,t,angle,bias,p00,p01,p10,p11,sym_resid,det,lambda_min,k0,k1,true_angle,true_bias
0,0.000000,0.3369447067,-0.001577869058,9.999424219e-05,-4.991889e-07,-4.991889e-07,0.2499751747,0,2.49961e-05,9.99942e-05,0.9999000207,-0.004999004304,0.3321631364,0.02952915973
1,0.020000,0.3605811968,-0.1391177326,6.669014692e-05,-0.00166567415,-0.00166567415,0.1668223441,0,8.35094e-06,5.00539e-05,0.6668652296,-16,0.3508253296,0.02905436819
2,0.040000,0.3730035201,-0.06098224223,6.669014692e-05,-0.001666173339,-0.001666173339,0.08361133933,0,2.79992e-06,3.3474e-05,0.6669065654,-16,0.3658309542,0.02880184169
3,0.060000,0.3776235357,0.06231640279,6.254017353e-05,-0.00125053525,-0.00125053525,0.04186418653,0,1.05436e-06,2.51627e-05,0.6254081652,-12.50517708,0.376762676,0.02893834014
4,0.080000,0.382568717,0.04846208543,5.642324686e-05,-0.0009097978473,-0.0009097978473,0.02286978066,0,4.62655e-07,2.0198e-05,0.5642349273,-9.097821496,0.3833473249,0.02821761997
5,0.100000,0.3951484784,-0.1361130625,5.052983761e-05,-0.0006763637066,-0.0006763637066,0.01362284273,0,2.30892e-07,1.69072e-05,0.5052891523,-6.763554603,0.385471313,0.0281365014
6,0.120000,0.3932554424,-0.1175686866,4.541873932e-05,-0.0005178749561,-0.0005178749561,0.008709363639,0,1.27374e-07,1.45733e-05,0.4541905597,-5.178683259,0.3831890168,0.02853607267
7,0.140000,0.392231375,-0.1639230326,4.110485315e-05,-0.0004075840116,-0.0004075840116,0.005888842046,0,7.59353e-08,1.28332e-05,0.4110574797,-4.075778849,0.3767237,0.02884839312
8,0.160000,0.3773266077,-0.1075596139,3.74764204e-05,-0.0003284737468,-0.0003284737468,0.004163354635,0,4.81326e-08,1.14893e-05,0.374761261,-3.284716077,0.3664608987,0.02826915917
9,0.180000,0.3562650755,-0.04193795472,3.44067812e-05,-0.0002700686455,-0.0002700686455,0.003051564097,0,3.20574e-08,1.04233e-05,0.3440844417,-2.700630404,0.3529345242,0.02858304642
10,0.200000,0.344250977,-0.06412472576,3.179162741e-05,-0.0002258345485,-0.0002258345485,0.002304024994,0,2.22475e-08,9.56365e-06,0.3179184869,-2.258308768,0.3368062767,0.02860394858
11,0.220000,0.3191701174,-0.01128824055,2.954155207e-05,-0.00019159168,-0.00019159168,0.001783229411,0,1.5972e-08,8.85406e-06,0.2953960821,-1.915901095,0.3188392603,0.02904524826
12,0.240000,0.3008958101,-0.009199507535,2.758949995e-05,-0.0001645684242,-0.0001645684242,0.001409426332,0,1.18026e-08,8.26076e-06,0.2758564875,-1.645643376,0.2998669599,0.02898200393
13,0.260000,0.2837279886,-0.01420267671,2.587586641e-05,-0.0001428723335,-0.0001428723335,0.001134216785,0,8.93634e-09,7.75496e-06,0.2587806508,-1.428705543,0.2807589468,0.0292814089
14,0.280000,0.2684920654,-0.0212983191,2.437084913e-05,-0.0001252144575,-0.0001252144575,0.0009270980954,0,6.91551e-09,7.32463e-06,0.2437031642,-1.252098948,0.2623848341,0.029057569
15,0.300000,0.2511422113,-0.01327998191,2.303719521e-05,-0.0001106411219,-0.0001106411219,0.0007682070136,0,5.45588e-09,6.95647e-06,0.2303457782,-1.106428124,0.2455780804,0.02915933758
16,0.320000,0.241241388,-0.02203324437,2.184510231e-05,-9.848177433e-05,-9.848177433e-05,0.0006442964077,0,4.37606e-09,6.63536e-06,0.2184242681,-0.9848017246,0.231101253,0.02961296067
17,0.340000,0.2305613086,-0.01070276648,2.07722187e-05,-8.823722601e-05,-8.823722601e-05,0.0005462169647,0,3.56033e-09,6.35049e-06,0.207720913,-0.8823564127,0.2196142948,0.02970220444
18,0.360000,0.2192828804,0.01371322572,1.980364323e-05,-7.952004671e-05,-7.952004671e-05,0.0004675462842,0,2.93568e-09,6.10012e-06,0.1980641708,-0.7951843217,0.2116472066,0.03000892626
19,0.380000,0.2153229564,0.02446831763,1.89319253e-05,-7.204711437e-05,-7.204711437e-05,0.0004036948085,0,2.45193e-09,5.88356e-06,0.189296931,-0.7204638794,0.2075783601,0.03003800688
20,0.400000,0.2170479968,0.02588191628,1.813471317e-05,-6.559491158e-05,-6.559491158e-05,0.0003513172269,0,2.06834e-09,5.68592e-06,0.1813357696,-0.6559316888,0.2076194013,0.03004349451
21,0.420000,0.2239470258,0.02102254331,1.741200686e-05,-5.997717381e-05,-5.997717381e-05,0.0003079399467,0,1.76459e-09,5.5172e-06,0.1740815938,-0.5997784734,0.2118074121,0.03079182238
22,0.440000,0.2294462547,0.03715448081,1.674890518e-05,-5.505979061e-05,-5.505979061e-05,0.0002717003226,0,1.5191e-09,5.36628e-06,0.1674730182,-0.5506140664,0.220004667,0.03106919191
23,0.460000,0.24181097,0.03980082273,1.613050699e-05,-5.073100328e-05,-5.073100328e-05,0.0002411901951,0,1.31689e-09,5.22373e-06,0.1613346636,-0.5073106736,0.2319059867,0.0313788458
24,0.480000,0.2566919848,0.04410985112,1.556426287e-05,-4.690885544e-05,-4.690885544e-05,0.0002153143287,0,1.15077e-09,5.09682e-06,0.1556366384,-0.4690488204,0.247053342,0.03189564541
25,0.500000,0.2738081291,0.04948247969,1.504272223e-05,-4.351139069e-05,-4.351139069e-05,0.000193208456,0,1.01314e-09,4.98428e-06,0.1503987834,-0.4351183698,0.2648570434,0.03125747779
26,0.520000,0.2946632355,0.04776087403,1.455843449e-05,-4.047900438e-05,-4.047900438e-05,0.0001742094755,0,8.97667e-10,4.88164e-06,0.1455853358,-0.4047997966,0.2846225509,0.0315269407
27,0.540000,0.3141990006,0.05183733255,1.411139965e-05,-3.775954247e-05,-3.775954247e-05,0.0001577958465,0,8.00937e-10,4.79275e-06,0.1411019415,-0.3776156679,0.3055816905,0.03219688062
28,0.560000,0.3366822451,0.04957090318,1.369416714e-05,-3.531575203e-05,-3.531575203e-05,0.000143520534,0,7.18192e-10,4.70929e-06,0.1369043812,-0.3531605676,0.3269268672,0.03223697147
29,0.580000,0.3584777787,0.04488296807,1.330673695e-05,-3.310292959e-05,-3.310292959e-05,0.0001310557127,0,6.4812e-10,4.63858e-06,0.1330577433,-0.331029579,0.3478467318,0.0317392651
30,0.600000,0.3770427555,0.04414321482,1.29416585e-05,-3.110617399e-05,-3.110617399e-05,0.0001201331615,0,5.87128e-10,4.56888e-06,0.1294026077,-0.3110202998,0.3675616969,0.03165203955
31,0.620000,0.3924164325,0.04534779489,1.259893179e-05,-2.928078175e-05,-2.928078175e-05,0.0001104995608,0,5.34812e-10,4.50981e-06,0.1260011718,-0.2928306311,0.3853577078,0.03194305986
32,0.640000,0.4062011838,0.04596592486,1.227855682e-05,-2.762675285e-05,-2.762675285e-05,0.000101968646,0,4.8879e-10,4.45183e-06,0.1228024289,-0.276256457,0.4006167588,0.03152832304
