k,t,angle,bias,p00,p01,p10,p11,sym_resid,det,lambda_min,k0,k1,true_angle,true_bias
0,0.000000,0.3369447105,-0.001577868126,9.998958558e-05,-5.001202226e-07,-5.001202226e-07,0.2499751849,0,2.49949e-05,9.99896e-05,0.9999000197,-0.004998996854,0.3321631364,0.02952915973
1,0.020000,0.360581208,-0.1447632322,6.668642163e-05,-0.001665670425,-0.001665670425,0.1666916069,0,8.34161e-06,5.00372e-05,0.6668662643,-16.65673332,0.3508253296,0.02905436819
2,0.040000,0.3730413876,-0.06154540647,6.668549031e-05,-0.001665554941,-0.001665554941,0.08342213649,0,2.78897e-06,3.34187e-05,0.6668559285,-16.65558089,0.3658309542,0.02880184169
3,0.060000,0.3776433356,0.06225288659,6.252620369e-05,-0.001249358058,-0.001249358058,0.04176864121,0,1.05074e-06,2.51337e-05,0.625267419,-12.49360462,0.376762676,0.02893834014
4,0.080000,0.3825776316,0.04860466253,5.640555173e-05,-0.0009088246152,-0.0009088246152,0.02282223012,0,4.61338e-07,2.01824e-05,0.5640572794,-9.088257149,0.3833473249,0.02821761997
5,0.100000,0.3951467536,-0.135737583,5.051121116e-05,-0.0006756512448,-0.0006756512448,0.01359792519,0,2.30343e-07,1.68978e-05,0.5051159617,-6.756521702,0.385471313,0.0281365014
6,0.120000,0.3932510167,-0.1172585851,4.540197551e-05,-0.0005173766986,-0.0005173766986,0.008695377037,0,1.27109e-07,1.45663e-05,0.4540203288,-5.173774421,0.3831890168,0.02853607267
7,0.140000,0.3922235146,-0.1636161851,4.109181464e-05,-0.0004072254524,-0.0004072254524,0.005880459212,0,7.58062e-08,1.28295e-05,0.410916592,-4.072259739,0.3767237,0.02884839312
8,0.160000,0.3773195893,-0.107344985,3.746617585e-05,-0.0003282008693,-0.0003282008693,0.004158115946,0,4.80729e-08,1.14894e-05,0.3746600272,-3.282018572,0.3664608987,0.02826915917
9,0.180000,0.3562598936,-0.04180339631,3.439933062e-05,-0.0002698590979,-0.0002698590979,0.003048188984,0,3.20317e-08,1.04264e-05,0.3439924726,-2.698591143,0.3529345242,0.02858304642
10,0.200000,0.3442447931,-0.0639927974,3.17832455e-05,-0.0002256762236,-0.0002256762236,0.002301773988,0,2.22281e-08,9.56461e-06,0.31783586,-2.256769285,0.3368062767,0.02860394858
11,0.220000,0.3191657104,-0.0112067638,2.953317016e-05,-0.0001914678141,-0.0001914678141,0.001781708561,0,1.59596e-08,8.85469e-06,0.295330599,-1.914684162,0.3188392603,0.02904524826
12,0.240000,0.3008915074,-0.009129172191,2.758018672e-05,-0.0001644669101,-0.0001644669101,0.001408374868,0,1.17939e-08,8.26079e-06,0.2758064838,-1.644674808,0.2998669599,0.02898200393
13,0.260000,0.2837235555,-0.01413792651,2.587214112e-05,-0.0001427968964,-0.0001427968964,0.001133474521,0,8.93446e-09,7.75838e-06,0.2587228166,-1.427973762,0.2807589468,0.0292814089
14,0.280000,0.2684875354,-0.02123728115,2.436712384e-05,-0.0001251483336,-0.0001251483336,0.0009265728295,0,6.91581e-09,7.32909e-06,0.2436693031,-1.251488015,0.2623848341,0.029057569
15,0.300000,0.251137957,-0.01322921645,2.303253859e-05,-0.0001105889678,-0.0001105889678,0.0007678577676,0,5.45579e-09,6.95954e-06,0.2303214939,-1.10588868,0.2455780804,0.02915933758
16,0.320000,0.2412371002,-0.02198416367,2.18404457e-05,-9.844079614e-05,-9.844079614e-05,0.0006440533325,0,4.37582e-09,6.63751e-06,0.2184046935,-0.9844079912,0.231101253,0.02961296067
17,0.340000,0.2305573151,-0.01066274941,2.077035606e-05,-8.820090443e-05,-8.820090443e-05,0.0005460437387,0,3.56212e-09,6.35573e-06,0.2077064412,-0.8820126504,0.2196142948,0.02970220444
18,0.360000,0.2192793079,0.0137412129,1.980550587e-05,-7.949117571e-05,-7.949117571e-05,0.0004674298689,0,2.93884e-09,6.10824e-06,0.1980551491,-0.7949167937,0.2116472066,0.03000892626
19,0.380000,0.2153193839,0.02448984049,1.893099397e-05,-7.202289999e-05,-7.202289999e-05,0.0004036230966,0,2.45369e-09,5.88887e-06,0.1893120315,-0.7202298194,0.2075783601,0.03003800688
20,0.400000,0.2170446739,0.02590034157,1.81356445e-05,-6.557162851e-05,-6.557162851e-05,0.0003512818366,0,2.07108e-09,5.69412e-06,0.1813572636,-0.6557132006,0.2076194013,0.03004349451
21,0.420000,0.2239440493,0.0210401481,1.740921289e-05,-5.996041e-05,-5.996041e-05,0.0003079306334,0,1.76558e-09,5.52055e-06,0.1740906257,-0.5996061713,0.2118074121,0.03079182238
22,0.440000,0.2294445448,0.03716694098,1.674331725e-05,-5.504954606e-05,-5.504954606e-05,0.0002717105672,0,1.51888e-09,5.3654e-06,0.1674368838,-0.5505008996,0.220004667,0.03106919191
23,0.460000,0.2418094501,0.03981216811,1.613143831e-05,-5.072820932e-05,-5.072820932e-05,0.0002412069589,0,1.31766e-09,5.2265e-06,0.1613109838,-0.5072875768,0.2319059867,0.0313788458
24,0.480000,0.2566902414,0.0441205278,1.556612551e-05,-4.690606147e-05,-4.690606147e-05,0.0002153282985,0,1.15165e-09,5.10044e-06,0.1556656444,-0.4690650254,0.247053342,0.03189564541
25,0.500000,0.2738059349,0.04949203506,1.504458487e-05,-4.350952804e-05,-4.350952804e-05,0.0001932261512,0,1.01393e-09,4.98777e-06,0.1504414976,-0.4350966811,0.2648570434,0.03125747779
