k,t,angle,bias,p00,p01,p10,p11,sym_resid,det,lambda_min,k0,k1,true_angle,true_bias
0,0.000000,0.3255788945,-0.0001013120636,0.0001000165939,-5.960464478e-08,-5.960464478e-08,0.2499998808,0,2.50041e-05,0.000100017,0.9998999937,-0.0003124773502,0.3321631364,0.02988228993
1,0.001250,0.329540126,-0.008588311262,5.012750626e-05,-0.0001559853554,-0.0001559853554,0.2495124936,0,1.24831e-05,5.003e-05,0.5010407371,-1.559322029,0.3334269767,0.02976284205
2,0.002500,0.3327443041,-0.02643431351,3.373622894e-05,-0.0003100633621,-0.0003100633621,0.248061955,0,8.27254e-06,3.33486e-05,0.3372827806,-3.100315958,0.3346784665,0.02969896042
3,0.003750,0.3386479057,-0.1058541369,2.586841583e-05,-0.0004596114159,-0.0004596114159,0.2452121377,0,6.13201e-06,2.50069e-05,0.2588339224,-4.595406353,0.3359174628,0.02973233503
4,0.005000,0.3422003165,-0.1614797674,2.151727676e-05,-0.0006012916565,-0.0006012916565,0.240606606,0,4.81565e-06,2.00145e-05,0.2151543498,-6.011693165,0.337143824,0.02955140499
5,0.006250,0.3446438573,-0.2075391859,1.895427704e-05,-0.0007308721542,-0.0007308721542,0.2340147495,0,3.90141e-06,1.66715e-05,0.1897633998,-7.307580873,0.3383574103,0.02953037535
6,0.007500,0.3470960483,-0.2484471686,1.740455627e-05,-0.0008451342583,-0.0008451342583,0.2253671288,0,3.20816e-06,1.42351e-05,0.1742125982,-8.449803144,0.3395580833,0.02962951817
7,0.008750,0.3477226682,-0.1910996391,1.662969589e-05,-0.0009397864342,-0.0009397864342,0.2147793174,0,2.68852e-06,1.25173e-05,0.166003976,-9.39612326,0.3407457063,0.02970684828
8,0.010000,0.3510198705,-0.3177049495,1.621246338e-05,-0.001012682915,-0.001012682915,0.2025454044,0,2.25823e-06,1.1149e-05,0.1618381618,-10.12537463,0.3419201442,0.02956128979
9,0.011250,0.350946404,-0.2035074765,1.603364944e-05,-0.001063168049,-0.001063168049,0.1890895367,0,1.90147e-06,1.00556e-05,0.1601601606,-10.62962963,0.3430812636,0.0296390116
10,0.012500,0.3530936316,-0.2434150726,1.591444016e-05,-0.001092493534,-0.001092493534,0.1748952866,0,1.58982e-06,9.08976e-06,0.1593186371,-10.92284569,0.3442289326,0.02964348715
11,0.013750,0.3543187454,-0.227290309,1.591444016e-05,-0.001102805138,-0.001102805138,0.160438776,0,1.33711e-06,8.33371e-06,0.1588972434,-11.02606516,0.3453630212,0.02975306207
12,0.015000,0.3519839533,0.03541063238,1.591444016e-05,-0.001096248627,-0.001096248627,0.1461526155,0,1.12418e-06,7.69136e-06,0.1588972434,-10.96090226,0.3464834012,0.02973650098
13,0.016250,0.3501113132,0.2320202496,1.591444016e-05,-0.001075744629,-0.001075744629,0.1323971748,0,9.498e-07,7.1734e-06,0.1588972434,-10.75538847,0.3475899458,0.02981060223
14,0.017500,0.3483572192,0.3967849463,1.585483551e-05,-0.0010445714,-0.0010445714,0.1194335818,0,8.0247e-07,6.71845e-06,0.158475426,-10.44383149,0.3486825305,0.02975389225
15,0.018750,0.3495163657,0.3573252968,1.573562622e-05,-0.001006186008,-0.001006186008,0.1074228287,0,6.77955e-07,6.31054e-06,0.1572074331,-10.06027122,0.3497610321,0.02977858439
16,0.020000,0.3519795947,0.2484401138,1.555681229e-05,-0.0009630918503,-0.0009630918503,0.09644049406,0,5.72761e-07,5.93841e-06,0.1555108204,-9.629592344,0.3508253296,0.02989124017
