k,t,angle,bias,p00,p01,p10,p11,sym_resid,det,lambda_min,k0,k1,true_angle,true_bias
0,0.000000,0.3296635449,0,9.999983013e-05,0,0,0.2500000447,0,2.5e-05,9.99998e-05,1,0,0.3321631364,0.02976457986
1,0.005000,0.3409661464,-0.07148728985,5.152542144e-05,-0.0006059259176,-0.0006059259176,0.2424259633,0,1.2124e-05,5.00106e-05,0.5151367188,-6.05859375,0.337143824,0.02952618409
2,0.010000,0.345797196,-0.06685107946,3.890879452e-05,-0.001110664569,-0.001110664569,0.2222334482,0,7.41326e-06,3.33572e-05,0.3891601562,-11.10546875,0.3419201442,0.02939892084
3,0.015000,0.3463877514,0.1134059364,3.57395038e-05,-0.001427766867,-0.001427766867,0.1905108606,0,4.77025e-06,2.50378e-05,0.357421875,-14.27734375,0.3464834012,0.02946617007
4,0.020000,0.3534939848,-0.03310264088,3.541074693e-05,-0.001537433825,-0.001537433825,0.1539149759,0,3.08654e-06,2.00515e-05,0.3540039062,-15.375,0.3508253296,0.02910480998
5,0.025000,0.3574198671,0.0007530869916,3.534927964e-05,-0.001491487026,-0.001491487026,0.1195061458,0,1.99992e-06,1.67323e-05,0.353515625,-14.9140625,0.3549381213,0.0290632507
6,0.030000,0.3629829772,-0.05824806821,3.476720303e-05,-0.00136273168,-0.00136273168,0.09103835933,0,1.30811e-06,1.43656e-05,0.34765625,-13.62890625,0.3588144492,0.02926203634
7,0.035000,0.3659454919,-0.009938430041,3.364961594e-05,-0.001206193119,-0.001206193119,0.06911062822,0,8.70644e-07,1.2594e-05,0.3364257812,-12.0625,0.3624474918,0.02941719656
8,0.040000,0.3702523671,-0.05324954353,3.219675273e-05,-0.00105214864,-0.00105214864,0.05278406944,0,5.92459e-07,1.12197e-05,0.3220214844,-10.51953125,0.3658309542,0.02912657958
9,0.045000,0.3717892244,0.01130693126,3.059580922e-05,-0.0009134132415,-0.0009134132415,0.04076302145,0,4.12854e-07,1.01231e-05,0.3059082031,-9.1328125,0.3689590897,0.02928252321
