k,t,angle,bias,p00,p01,p10,p11,sym_resid,det,lambda_min,k0,k1,true_angle,true_bias
0,0.000000,0.3296635449,0,0,0,-0.001249999739,0.2500000447,0.00125,-3.90625e-07,-1.56249e-06,1,0,0.3321631364,0.02976457986
1,0.005000,0.3362043612,-0.2621200634,1.114513725e-05,-0.001110534184,-0.002221316099,0.2222315408,0.00111078,-2.98506e-07,-1.34314e-06,0.1115722656,-22.21484375,0.337143824,0.02952618409
2,0.010000,0.3430004828,-0.3468325892,2.50376761e-05,-0.001665183343,-0.002497985959,0.1667326922,0.000832803,-1.58396e-07,-9.49849e-07,0.2504882812,-24.98046875,0.3419201442,0.02939892084
3,0.015000,0.3457561061,-0.09756680205,3.335718066e-05,-0.001664880663,-0.002220201306,0.1112602968,0.000555321,-6.21357e-08,-5.58301e-07,0.3337402344,-22.19921875,0.3464834012,0.02946617007
4,0.020000,0.3537985086,-0.2600483159,3.573298454e-05,-0.001427282579,-0.001784224994,0.0716261249,0.000356942,-1.903e-08,-2.65552e-07,0.357421875,-17.84375,0.3508253296,0.02910480998
5,0.025000,0.3583666198,-0.2083208971,3.490410745e-05,-0.001162087545,-0.001394530758,0.0467280224,0.000232443,-3.07437e-09,-6.57437e-08,0.3491210938,-13.9453125,0.3549381213,0.0290632507
6,0.030000,0.3642374501,-0.2338726791,3.284309059e-05,-0.0009374134243,-0.001093517989,0.03146774974,0.000156105,2.32755e-09,7.38894e-08,0.3283691406,-10.93359375,0.3588144492,0.02926203634
7,0.035000,0.3675554246,-0.1805048296,3.047473729e-05,-0.0007611950859,-0.0008697500452,0.02194858342,0.000108555,3.88181e-09,1.76615e-07,0.3046875,-8.6953125,0.3624474918,0.02941719656
8,0.040000,0.3718554229,-0.1921440903,2.817250788e-05,-0.0006255619228,-0.0007035555318,0.01582144015,7.79936e-05,4.09135e-09,2.5814e-07,0.2817382812,-7.03515625,0.3658309542,0.02912657958
9,0.045000,0.3738069534,-0.1379594002,2.60649249e-05,-0.0005209324881,-0.0005786903203,0.01174486242,5.77578e-05,3.83638e-09,3.25929e-07,0.2607421875,-5.78515625,0.3689590897,0.02928252321
10,0.050000,0.3789387457,-0.1636459045,2.418272197e-05,-0.0004394128919,-0.0004832660779,0.008943986148,4.38532e-05,3.45581e-09,3.85358e-07,0.2419433594,-4.83203125,0.3718267185,0.02929197429
11,0.055000,0.3797931075,-0.1159183839,2.252217382e-05,-0.0003751562908,-0.0004091160372,0.006964001805,3.39597e-05,3.07369e-09,4.39973e-07,0.2250976562,-4.08984375,0.3744292454,0.02951162413
12,0.060000,0.3760978766,-0.01045656484,2.105068415e-05,-0.0003236969933,-0.0003505153582,0.005527527072,2.68184e-05,2.71765e-09,4.89836e-07,0.2104492188,-3.50390625,0.376762676,0.02947900197
13,0.065000,0.3815656491,-0.06334137172,1.97449699e-05,-0.0002819430083,-0.0003034742549,0.004461215809,2.15312e-05,2.40823e-09,5.375e-07,0.1975097656,-3.03515625,0.3788236308,0.02962770445
14,0.070000,0.3800786994,-0.01052996609,1.858640462e-05,-0.0002477224916,-0.0002652332187,0.003654287197,1.75107e-05,2.13917e-09,5.82517e-07,0.1857910156,-2.65234375,0.380609358,0.0295147845
15,0.075000,0.3800208196,0.0130806407,1.755077392e-05,-0.0002193022519,-0.00023377873,0.003032986075,1.44765e-05,1.91066e-09,6.26464e-07,0.1755371094,-2.3359375,0.3821177444,0.02956466879
16,0.080000,0.3781967498,0.05139500834,1.662224531e-05,-0.0001954846084,-0.0002075899392,0.002546695061,1.21053e-05,1.71452e-09,6.69041e-07,0.1662597656,-2.07421875,0.3833473249,0.02979048033
17,0.085000,0.3804535605,0.03280541115,1.578498632e-05,-0.0001753279939,-0.0001855408773,0.00216039829,1.02129e-05,1.54527e-09,7.10315e-07,0.1579589844,-1.85546875,0.384297289,0.02983410222
18,0.090000,0.3811033256,0.03104461916,1.502782106e-05,-0.0001581385732,-0.0001668408513,0.001849982888,8.70228e-06,1.39831e-09,7.50059e-07,0.150390625,-1.66796875,0.3849674875,0.02998646313
19,0.095000,0.3799801581,0.04724389687,1.434423029e-05,-0.0001434003934,-0.0001508435234,0.001597637311,7.44313e-06,1.27201e-09,7.89482e-07,0.1433105469,-1.5078125,0.3853584351,0.03000000344
20,0.100000,0.3802024275,0.0429235911,1.371838152e-05,-0.0001306170598,-0.000137030147,0.001390114427,6.41309e-06,1.16136e-09,8.27768e-07,0.1372070312,-1.37109375,0.385471313,0.03000174725
21,0.105000,0.3819962144,0.02088349778,1.314841211e-05,-0.0001194979995,-0.000125059858,0.00121819973,5.56186e-06,1.06526e-09,8.65722e-07,0.1313476562,-1.25,0.3853079687,0.03037491119
22,0.110000,0.3817616329,0.01922689285,1.262221485e-05,-0.0001097368076,-0.0001146169379,0.001074504107,4.88013e-06,9.78971e-10,9.0126e-07,0.1262207031,-1.14453125,0.3848709138,0.03051259596
23,0.115000,0.3804311194,0.02439448517,1.213885844e-05,-0.0001011425629,-0.0001054191962,0.0009531443939,4.27663e-06,9.03145e-10,9.36535e-07,0.1213378906,-1.0546875,0.3841633207,0.0306664229
24,0.120000,0.3795531653,0.0218531657,1.16918236e-05,-9.352248162e-05,-9.730644524e-05,0.0008501764387,3.78396e-06,8.36193e-10,9.71305e-07,0.1169433594,-0.97265625,0.3831890168,0.0309238227
25,0.125000,0.378367424,0.02219165768,1.127738506e-05,-8.674524724e-05,-9.008683264e-05,0.0007619960234,3.34159e-06,7.75926e-10,1.00474e-06,0.1127929688,-0.90234375,0.381952477,0.0306037389
26,0.130000,0.3746523336,0.04023409076,1.089461148e-05,-8.06953758e-05,-8.367747068e-05,0.0006863418967,2.98209e-06,7.2282e-10,1.03824e-06,0.1088867188,-0.8359375,0.3804588148,0.03073747035
27,0.135000,0.3709866852,0.05130164325,1.053605229e-05,-7.525458932e-05,-7.790792733e-05,0.0006206622347,2.65334e-06,6.74641e-10,1.07064e-06,0.10546875,-0.78125,0.3787137707,0.03107144031
28,0.140000,0.3691427708,0.04881450813,1.02026388e-05,-7.036142051e-05,-7.275585085e-05,0.0005637751892,2.39443e-06,6.31356e-10,1.10208e-06,0.1020507812,-0.7265625,0.3767237,0.03109048574
29,0.145000,0.3666674942,0.05071486998,9.892508388e-06,-6.594508886e-05,-6.811413914e-05,0.0005140798166,2.16905e-06,5.9257e-10,1.13337e-06,0.09887695312,-0.6796875,0.3744955577,0.03084063255
30,0.150000,0.3653818332,0.04094828572,9.601935744e-06,-6.194133312e-05,-6.388034672e-05,0.0004702312872,1.93901e-06,5.57357e-10,1.16439e-06,0.09594726562,-0.640625,0.3720368825,0.03079601978
31,0.155000,0.3627652638,0.03874988947,9.328126907e-06,-5.829706788e-05,-6.004329771e-05,0.0004316000268,1.74623e-06,5.24909e-10,1.1937e-06,0.09326171875,-0.6015625,0.3693557792,0.03094052993
32,0.160000,0.3615900949,0.02490856778,9.069219232e-06,-5.496479571e-05,-5.655083805e-05,0.0003974027932,1.58604e-06,4.95199e-10,1.22196e-06,0.0908203125,-0.56640625,0.3664608987,0.03073216152
33,0.165000,0.3572722822,0.02894450258,8.82614404e-06,-5.191843957e-05,-5.335733294e-05,0.0003669690341,1.43889e-06,4.68174e-10,1.24998e-06,0.08837890625,-0.53515625,0.3633614171,0.03110606862
34,0.170000,0.3529398367,0.0344490204,8.597970009e-06,-4.913378507e-05,-5.045253783e-05,0.0003399271518,1.31875e-06,4.43325e-10,1.27668e-06,0.0859375,-0.50390625,0.3600670134,0.03103148717
35,0.175000,0.3481271304,0.04294448532,8.382834494e-06,-4.657637328e-05,-4.779174924e-05,0.0003157462925,1.21538e-06,4.20513e-10,1.3026e-06,0.08374023438,-0.4765625,0.3565878454,0.0306703299
36,0.180000,0.3430305608,0.05084053334,8.179806173e-06,-4.421640188e-05,-4.533398896e-05,0.0002939710394,1.11759e-06,3.99808e-10,1.32905e-06,0.08178710938,-0.453125,0.3529345242,0.03045200954
37,0.185000,0.3394352756,0.05100341514,7.986091077e-06,-4.20389697e-05,-4.30746004e-05,0.0002743853256,1.03563e-06,3.80186e-10,1.35289e-06,0.07983398438,-0.4296875,0.3491180878,0.03033128126
38,0.190000,0.3361984715,0.04474135675,7.801689208e-06,-4.001893103e-05,-4.097539932e-05,0.0002566250041,9.56468e-07,3.62088e-10,1.3765e-06,0.078125,-0.41015625,0.3451499732,0.03028376906
39,0.195000,0.3341462351,0.03350629471,7.629394531e-06,-3.815628588e-05,-3.903266042e-05,0.0002405364066,8.76375e-07,3.45614e-10,1.40058e-06,0.076171875,-0.390625,0.3410419872,0.03014189096
40,0.200000,0.3317307904,0.02417269908,7.463619113e-06,-3.641843796e-05,-3.724172711e-05,0.0002259751782,8.23289e-07,3.30138e-10,1.42291e-06,0.07470703125,-0.37109375,0.3368062767,0.03003491185
41,0.205000,0.3281106576,0.01900102478,7.30715692e-06,-3.48072499e-05,-3.556907177e-05,0.0002126730978,7.61822e-07,3.15829e-10,1.44521e-06,0.07299804688,-0.35546875,0.3324552974,0.03019201326
42,0.210000,0.324713584,0.01567304041,7.158145308e-06,-3.330502659e-05,-3.401283175e-05,0.0002005277202,7.07805e-07,3.02483e-10,1.4668e-06,0.07153320312,-0.33984375,0.3280017819,0.02985258855
43,0.215000,0.3219977245,0.007417663932,7.015652955e-06,-3.190431744e-05,-3.257021308e-05,0.0001894487068,6.65896e-07,2.89865e-10,1.48666e-06,0.07006835938,-0.32421875,0.323458707,0.02969880167
44,0.220000,0.3189668171,-0.0005150083452,6.878748536e-06,-3.058928996e-05,-3.120861948e-05,0.0001792274415,6.1933e-07,2.78115e-10,1.50659e-06,0.06884765625,-0.3125,0.3188392603,0.02988873033
45,0.225000,0.3147820309,-0.003711807542,6.749294698e-06,-2.936366946e-05,-2.992805094e-05,0.0001698015258,5.64381e-07,2.67164e-10,1.52644e-06,0.0673828125,-0.30078125,0.314156806,0.03021509439
46,0.230000,0.3102278188,-0.005086386576,6.625428796e-06,-2.82144174e-05,-2.872664481e-05,0.0001611132175,5.12227e-07,2.56873e-10,1.54563e-06,0.06616210938,-0.2890625,0.3094248505,0.0303474382
47,0.235000,0.3056879193,-0.004546167329,6.507150829e-06,-2.713501453e-05,-2.760253847e-05,0.0001531094313,4.67524e-07,2.47256e-10,1.5644e-06,0.06494140625,-0.27734375,0.3046570068,0.03045246062
48,0.240000,0.3026424646,-0.009554841556,6.392598152e-06,-2.611614764e-05,-2.655386925e-05,0.0001457426697,4.37722e-07,2.38142e-10,1.58177e-06,0.06396484375,-0.265625,0.2998669599,0.03040456577
49,0.245000,0.2972509861,-0.007287965156,6.283633411e-06,-2.515967935e-05,-2.557970583e-05,0.0001389710233,4.20026e-07,2.29622e-10,1.59841e-06,0.06274414062,-0.25390625,0.2950684306,0.03023934616
50,0.250000,0.2915089764,-0.003093740903,6.17839396e-06,-2.425722778e-05,-2.46539712e-05,0.0001326529309,3.96743e-07,2.21506e-10,1.61427e-06,0.06176757812,-0.24609375,0.2902751402,0.03009443326
