t,gyro_rate,accel_angle,true_angle,true_bias
0,1.101797493,0.3296635453,0.3321631364,0.02976457986
0.005,1.044868186,0.3466872061,0.337143824,0.02952618409
0.01,0.927215224,0.3455421899,0.3419201442,0.02939892084
0.015,0.9537778267,0.338274951,0.3464834012,0.02946617007
0.02,0.8599914196,0.3596496907,0.3508253296,0.02910480998
0.025,0.9125735098,0.355952311,0.3549381213,0.0290632507
0.03,0.8123656636,0.3658070475,0.3588144492,0.02926203634
0.035,0.8037285184,0.3632879144,0.3624474918,0.02941719656
0.04,0.5862708212,0.3730437474,0.3658309542,0.02912657958
0.045,0.6865926006,0.366882946,0.3689590897,0.02928252321
0.05,0.6311705513,0.3829684866,0.3718267185,0.02929197429
0.055,0.5325936334,0.3707501773,0.3744292454,0.02951162413
0.06,0.4118706618,0.3523336956,0.376762676,0.02947900197
0.065,0.3948122809,0.3955483009,0.3788236308,0.02962770445
0.07,0.3791335141,0.3638668026,0.380609358,0.0295147845
0.075,0.3327443165,0.37168752,0.3821177444,0.02956466879
0.08,0.2624873096,0.3627961415,0.3833473249,0.02979048033
0.085,0.1862445789,0.3888898123,0.384297289,0.02983410222
0.09,0.1310061551,0.3820002154,0.3849674875,0.02998646313
0.095,0.1143439774,0.3707762622,0.3853584351,0.03000000344
0.1,0.005230081674,0.3829210796,0.385471313,0.03000174725
0.105,-0.06150501195,0.3973123572,0.3853079687,0.03037491119
0.11,-0.06257123862,0.3830263487,0.3848709138,0.03051259596
0.115,-0.1279738581,0.3761259873,0.3841633207,0.0306664229
0.12,-0.2123049145,0.3818603819,0.3831890168,0.0309238227
0.125,-0.2068325403,0.3780346112,0.381952477,0.0306037389
0.13,-0.2507957804,0.3554190153,0.3804588148,0.03073747035
0.135,-0.3940714376,0.3583143386,0.3787137707,0.03107144031
0.14,-0.3873486849,0.372216591,0.3767237,0.03109048574
0.145,-0.3909499709,0.3641480129,0.3744955577,0.03084063255
0.15,-0.498968268,0.3791644808,0.3720368825,0.03079601978
0.155,-0.5505300091,0.3660789164,0.3693557792,0.03094052993
0.16,-0.6401603939,0.3838078054,0.3664608987,0.03073216152
0.165,-0.7053504626,0.3503972,0.3633614171,0.03110606862
0.17,-0.6497937941,0.3429548969,0.3600670134,0.03103148717
