config,cov_bits,q11_in_ulps,predicted_ok,naive_min_lambda,naive_final_p00,naive_rms_vs_truth_deg,naive_max_err_vs_truth_deg,naive_first_negative_step,naive_saturation_events,joseph_min_lambda,joseph_final_p00,joseph_rms_vs_truth_deg,joseph_max_err_vs_truth_deg,joseph_first_negative_step,joseph_saturation_events
Q1.30,30,48.32,yes,2.03487325328e-06,2.52947211266e-06,0.128672,0.72232,-1,0,2.03437824512e-06,2.52947211266e-06,0.12867,0.72232,-1,0
Q1.29,29,24.16,yes,2.02643269557e-06,2.57417559624e-06,0.128266,0.722289,-1,0,2.02722142328e-06,2.57417559624e-06,0.128268,0.722289,-1,0
Q1.28,28,12.08,yes,2.00986600246e-06,2.59280204773e-06,0.128099,0.722289,-1,0,2.00778445557e-06,2.59280204773e-06,0.128107,0.722289,-1,0
Q1.27,27,6.04,yes,1.99420921566e-06,2.48849391937e-06,0.129044,0.722395,-1,0,1.9918207394e-06,2.48849391937e-06,0.129043,0.722395,-1,0
Q1.26,26,3.02,yes,1.95474337043e-06,2.81631946564e-06,0.126325,0.722359,-1,0,1.95457224941e-06,2.81631946564e-06,0.126351,0.722359,-1,0
Q1.25,25,1.51,no,1.67053840491e-06,2.68220901489e-06,0.127559,0.722582,-1,0,1.66688635704e-06,2.68220901489e-06,0.12758,0.722582,-1,0
Q1.24,24,0.755,no,1.09511089716e-06,2.92062759399e-06,0.12584,0.72327,-1,0,1.07874277607e-06,2.92062759399e-06,0.125448,0.72327,-1,0
Q1.22,22,0.1887,no,-0.0110639704574,3.33786010742e-06,19.3575,494.428,86,902,-2.71431841205,2.05039978027e-05,1.78187,85.0144,86,16567
Q1.20,20,0.04719,no,-0.0446074100214,6.67572021484e-06,10.0664,167.417,42,2044,-4.9107783509e-06,6.67572021484e-06,0.125185,0.710801,43,0
Q1.18,18,0.0118,no,-0.128366799741,1.14440917969e-05,5.04712,55.9702,21,4580,-2.88861570192,2.67028808594e-05,2.62408,32.4756,21,15940
one global format Q4.27,27,6.04,yes,1.99764911836e-06,2.48849391937e-06,0.129037,0.722395,-1,0,1.99103720899e-06,2.48849391937e-06,0.129043,0.722395,-1,0
