t,naive_lambda_min,joseph_lambda_min,naive_sym_resid,joseph_sym_resid,naive_p00,joseph_p00,naive_angle_err_deg,joseph_angle_err_deg
0,-1.56249e-06,9.99998e-05,0.00125,0,0,9.99998e-05,0.00185705,0.00185705
0.005,-1.34314e-06,5.00106e-05,0.00111078,0,1.11451e-05,5.15254e-05,-0.272054,0.000776272
0.01,-9.49849e-07,3.33572e-05,0.000832803,0,2.50377e-05,3.89088e-05,-0.159874,0.000366172
0.015,-5.58301e-07,2.50378e-05,0.000555321,0,3.33572e-05,3.57395e-05,-0.036108,8.26504e-05
0.02,-2.65552e-07,2.00515e-05,0.000356942,0,3.5733e-05,3.54107e-05,0.0173037,-0.00014424
0.025,-6.57437e-08,1.67323e-05,0.000232443,0,3.49041e-05,3.53493e-05,0.0540169,-0.000227997
0.03,7.38894e-08,1.43656e-05,0.000156105,0,3.28431e-05,3.47672e-05,0.0716078,-0.000268191
0.035,1.76615e-07,1.2594e-05,0.000108555,0,3.04747e-05,3.36496e-05,0.0919822,-0.000260124
0.04,2.5814e-07,1.12197e-05,7.79936e-05,0,2.81725e-05,3.21968e-05,0.0916024,-0.00024598
0.045,3.25929e-07,1.01231e-05,5.77578e-05,0,2.60649e-05,3.05958e-05,0.11538,-0.000227027
0.05,3.85358e-07,9.22719e-06,4.38532e-05,0,2.41827e-05,2.89734e-05,0.0977032,-0.000196678
0.055,4.39973e-07,8.48341e-06,3.39597e-05,0,2.25222e-05,2.74051e-05,0.126658,-0.000261926
0.06,4.89836e-07,7.85621e-06,2.68184e-05,0,2.10507e-05,2.59262e-05,0.205159,-0.000261415
0.065,5.375e-07,7.32028e-06,2.15312e-05,0,1.9745e-05,2.45515e-05,0.147419,-0.000140574
0.07,5.82517e-07,6.85804e-06,1.75107e-05,0,1.85864e-05,2.3284e-05,0.193888,-0.000214999
0.075,6.26464e-07,6.45445e-06,1.44765e-05,0,1.75508e-05,2.21189e-05,0.210842,-0.000213729
0.08,6.69041e-07,6.10212e-06,1.21053e-05,0,1.66222e-05,2.10525e-05,0.247515,-0.000156798
0.085,7.10315e-07,5.78834e-06,1.02129e-05,0,1.5785e-05,2.00719e-05,0.211285,-0.000209469
0.09,7.50059e-07,5.51076e-06,8.70228e-06,0,1.50278e-05,1.91731e-05,0.199065,-0.000233046
0.095,7.89482e-07,5.26281e-06,7.44313e-06,0,1.43442e-05,1.83471e-05,0.214885,-0.000180444
0.1,8.27768e-07,5.03924e-06,6.41309e-06,0,1.37184e-05,1.75852e-05,0.198591,-0.000207673
0.105,8.65722e-07,4.8363e-06,5.56186e-06,0,1.31484e-05,1.68812e-05,0.152407,-0.00033228
0.11,9.0126e-07,4.65248e-06,4.88013e-06,0,1.26222e-05,1.62302e-05,0.143228,-0.00028739
0.115,9.36535e-07,4.48421e-06,4.27663e-06,0,1.21389e-05,1.56257e-05,0.147402,-0.000263064
0.12,9.71305e-07,4.33034e-06,3.78396e-06,0,1.16918e-05,1.50641e-05,0.136742,-0.000250746
0.125,1.00474e-06,4.18812e-06,3.34159e-06,0,1.12774e-05,1.45407e-05,0.132398,-0.00022588
0.13,1.03824e-06,4.05873e-06,2.98209e-06,0,1.08946e-05,1.40537e-05,0.16684,-0.000275937
0.135,1.07064e-06,3.93919e-06,2.65334e-06,0,1.05361e-05,1.35982e-05,0.185844,-0.000235266
0.14,1.10208e-06,3.82973e-06,2.39443e-06,0,1.02026e-05,1.31726e-05,0.173763,-0.000185089
