sample_rate_hz,dt_s,n_samples,float64_rms_vs_truth_deg,predicted_qd_zero_nominal,predicted_qd_zero_global,predicted_qd_zero_coarse,fixed_nominal_rms_vs_truth_deg,fixed_nominal_rms_vs_float64_deg,fixed_nominal_min_lambda,fixed_nominal_excess_over_float64,fixed_global_rms_vs_truth_deg,fixed_global_rms_vs_float64_deg,fixed_global_min_lambda,fixed_global_excess_over_float64,fixed_coarse_rms_vs_truth_deg,fixed_coarse_rms_vs_float64_deg,fixed_coarse_min_lambda,fixed_coarse_excess_over_float64
25,0.04,500,0.839796,no,no,no,0.83972,0.000224345,4.9470994716e-06,0.9999,0.840395,0.00243454,4.87177105997e-06,1.001,0.83906,0.00584574,4.88945021106e-06,0.9991
50,0.02,1000,0.425292,no,no,no,0.425298,7.09722e-05,3.77926566623e-06,1,0.42474,0.0013058,3.75561485905e-06,0.9987,0.429023,0.00866968,3.63543179392e-06,1.009
100,0.01,2000,0.235122,no,no,no,0.235,0.000644775,2.81678336405e-06,0.9995,0.234676,0.00153853,2.74376084367e-06,0.9981,0.226913,0.0235798,3.12549985379e-06,0.9651
200,0.005,4000,0.130215,no,no,no,0.130284,0.000347724,2.03437824512e-06,1.001,0.13061,0.00197306,1.99103720899e-06,1.003,0.127463,0.0117699,1.07874277607e-06,0.9789
400,0.0025,8000,0.086517,no,no,yes,0.0864619,0.000348517,1.45013518503e-06,0.9994,0.0875587,0.00458216,1.38601294684e-06,1.012,0.0868343,0.0056205,-1.18671320744e-06,1.004
800,0.00125,16000,0.0698513,no,no,yes,0.0698415,0.00070846,1.01628116284e-06,0.9999,0.0696345,0.00685489,1.02691114078e-06,0.9969,0.071017,0.0176259,-6.62257190781e-07,1.017
1600,0.000625,32000,0.0554897,no,no,yes,0.055694,0.00162178,7.17310672635e-07,1.004,0.0555686,0.00930962,6.75810457349e-07,1.001,0.0600309,0.0275673,-5.14537341622e-07,1.082
3200,0.0003125,64000,0.0437961,no,yes,yes,0.0438124,0.00100418,4.81458692474e-07,1,0.0438983,0.00292346,-1.92242194256e-07,1.002,0.0565245,0.0364332,-6.56915739597e-07,1.291
6400,0.00015625,128000,0.0356556,no,yes,yes,0.0361027,0.00537377,3.81641457346e-07,1.013,0.0374936,0.0113847,-1.56830458711e-07,1.052,0.0540158,0.0410459,-6.9928906182e-07,1.515
12800,7.8125e-05,256000,0.0297237,no,yes,yes,0.0305427,0.00681854,2.50409797104e-07,1.028,0.0347659,0.0177112,-1.83797123089e-07,1.17,2.11763,2.11743,-127.939311743,71.24
