gain_bits,gain0_format,gain1_format,predicted_naive_sym_resid,naive_max_sym_resid,naive_min_lambda,naive_first_negative_step,naive_rms_vs_truth_deg,naive_saturation_events,joseph_max_sym_resid,joseph_min_lambda,joseph_first_negative_step,joseph_rms_vs_truth_deg,joseph_saturation_events,naive_sym_predicted_over_measured
30,Q1.30,Q5.26,3.67628e-08,2.79396772385e-09,2.03487325328e-06,-1,0.128672,0,0,2.03437824512e-06,-1,0.12867,0,13.16
28,Q1.28,Q5.24,3.67652e-08,1.76951289177e-08,2.03482379183e-06,-1,0.128672,0,0,2.0341583932e-06,-1,0.12867,0,2.078
26,Q1.26,Q5.22,1.20151e-07,7.72997736931e-08,2.0347248427e-06,-1,0.128672,0,0,2.0344555022e-06,-1,0.12867,0,1.554
24,Q1.24,Q5.20,4.77809e-07,3.9953738451e-07,2.03447731678e-06,-1,0.128673,0,0,2.03442778533e-06,-1,0.12867,0,1.196
22,Q1.22,Q5.18,1.90844e-06,1.35321170092e-06,2.03492270598e-06,-1,0.128672,0,0,2.03452683947e-06,-1,0.12867,0,1.41
20,Q1.20,Q5.16,7.63097e-06,1.35321170092e-06,2.03461491622e-06,-1,0.128673,0,0,2.03430698708e-06,-1,0.12867,0,5.639
18,Q1.18,Q5.14,3.05211e-05,2.91652977467e-05,2.03456542861e-06,-1,0.128666,0,0,2.0344555022e-06,-1,0.128666,0,1.046
16,Q1.16,Q5.12,0.000122082,2.91559845209e-05,2.03505462213e-06,-1,0.12869,0,0,2.02819728221e-06,-1,0.128676,0,4.187
15,Q1.15,Q5.11,0.000244162,0.000214967876673,2.03478528143e-06,-1,0.128644,0,0,2.03391056153e-06,-1,0.128665,0,1.136
14,Q1.14,Q5.10,0.000488323,0.000273277983069,2.03432260125e-06,-1,0.128479,0,0,2.03570208037e-06,-1,0.128516,0,1.787
13,Q1.13,Q5.9,0.000976646,0.000703290104866,2.03085442763e-06,-1,0.128601,0,0,2.03665630138e-06,-1,0.128576,0,1.389
12,Q1.12,Q5.8,0.00195329,0.00124999973923,-1.56248930319e-06,0,0.127343,0,0,2.03256884519e-06,-1,0.128388,0,1.563
11,Q1.11,Q5.7,0.00390658,0.00124999973923,-1.56248930319e-06,0,0.128072,0,0,2.03020825404e-06,-1,0.128631,0,3.125
10,Q1.10,Q5.6,0.00781316,0.00124999973923,-1.56248930319e-06,0,0.12796,0,0,2.02005625906e-06,-1,0.128887,0,6.251
