ch00,ch01,ch02,ch03,ch04,ch05,ch06,ch07,ch08,ch09,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23
-0.583453,-9.22012,1.06983,0.581647,-0.481029,1.84753,1.44943,-1.38512,-3.35482,-1.37211,-2.81654,-1.36663,-2.27915,-2.62574,1.87474,2.1231,-0.277474,1.86847,3.0544,4.84148,1.28696,-1.07943,-7.34768,-0.406861
0.331875,-3.04693,0.616856,-2.13185,-1.79187,1.77677,1.03858,-1.04831,4.96344,-0.951491,0.883437,1.62315,-3.33984,-0.550303,-3.28193,-0.616756,-1.73061,0.69122,2.83538,-1.82838,0.0199726,-4.49759,-1.78917,0.953227
0.92904,-0.122587,0.700123,-0.453679,-0.381992,-0.891111,-0.36193,-0.166125,0.71034,-0.069584,1.02871,-0.146965,-0.926614,-0.0672402,-0.294487,-0.030464,-0.743226,-0.850724,0.480841,-0.578502,-0.0150896,-0.494584,-0.155706,-0.924491
-1.93152,0.500117,-1.42438,1.02858,1.25368,2.10381,0.516315,0.353026,-1.75735,0.305517,-2.04988,0.165658,1.92785,0.41584,1.32529,0.0844629,1.59247,2.17193,-1.13417,1.28095,-0.154898,1.4299,0.759945,1.32953
0.311112,2.56852,-0.246916,0.451011,0.226297,-1.50527,-0.658422,0.572247,-0.569119,0.46248,0.53587,-0.172492,0.968793,0.534828,-0.0909357,-0.366751,0.262293,-1.22122,-1.24077,-0.489172,-0.0438441,1.06249,1.59698,-0.155991
0.624804,0.0845052,0.351141,-1.08767,0.814677,1.76788,0.0166265,-0.18699,1.58722,0.0797917,0.975976,0.115939,-0.359675,0.20206,1.32032,0.633888,-0.87858,1.46066,0.950695,-1.04738,-1.025,-0.206288,1.17304,-1.54687
-0.326959,2.19793,-0.510439,1.55485,0.578277,-1.98034,-0.740499,0.769386,-3.14332,0.600168,-0.741986,-0.779823,2.06337,0.44882,0.95062,0.0222418,1.27652,-1.25085,-2.09305,1.2162,0.432922,2.51906,0.770402,0.237204
-0.440718,0.573136,-0.429912,-1.0792,0.911217,3.08592,0.488832,-0.113494,2.27913,0.19596,0.271301,0.830061,0.0896193,0.480773,0.756215,0.0751674,-0.27522,2.55148,0.764451,-1.47949,-1.19912,-0.579898,1.86251,-0.242301
-0.794476,-1.50908,-0.457398,-1.28684,-1.04971,2.13843,1.114,-0.625428,3.63318,-0.45229,-0.104595,1.56701,-1.62928,-0.0964735,-2.63895,-0.793547,-0.541678,1.29943,1.51831,-1.31098,-0.0489494,-3.13126,-0.679966,1.99386
-1.14997,1.71189,-0.949635,1.66176,0.775451,-1.01097,-0.157527,0.636629,-3.16411,0.410791,-1.52169,-0.481683,2.18488,0.360904,0.724685,-0.273408,1.59991,-0.449731,-2.09655,1.60752,0.569463,2.26638,0.618794,1.13458
