ch00,ch01,ch02,ch03,ch04,ch05,ch06,ch07,ch08,ch09,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23
-0.239603,0.766194,-1.39877,-0.447115,1.70858,-0.950822,2.16248,-1.25684,0.998255,1.95589,0.281254,-0.529188,-0.541992,1.1135,0.206841,-3.92254,0.916495,-0.289439,-0.00207517,-1.60146,-1.5206,0.205486,-2.30037,0.667149
-0.521088,1.59034,0.0589441,-0.0281785,2.57366,0.130209,2.44772,-0.873316,0.387668,0.0901444,0.451955,-0.0305875,0.645249,0.70946,0.647951,-3.5768,1.15651,-0.909831,-0.225674,-1.99881,-0.829875,0.29133,-2.22933,1.1158
0.117608,-0.140098,-0.327674,0.614467,0.21125,-0.0392501,-0.367035,-0.4563,-0.581859,-0.64449,0.145528,-0.299664,0.099628,0.351394,0.85473,-0.178989,0.206068,-0.122619,-0.55665,-0.427755,-0.911717,-0.414944,-0.387564,-0.514743
0.168931,0.56924,1.22452,0.618574,-0.174934,0.275304,0.430192,1.49719,1.47135,1.00228,1.10205,-0.212705,-1.02888,1.25769,-0.0948878,-1.65716,-0.807881,-0.0895972,1.17265,-0.710589,0.393186,1.34505,-0.127574,0.404818
0.596786,-2.97516,-2.98416,-0.436473,-2.78924,-1.51722,-3.25797,-1.62918,-2.16716,-0.424807,-1.92523,-0.420164,-0.0921595,-1.81955,-0.255904,4.86155,0.0370656,1.27431,-1.58155,2.62849,-0.765784,-2.23452,1.74546,-2.00729
0.46598,0.889577,3.27411,2.2325,-0.779444,1.2964,-0.692863,3.40994,1.78333,-0.142602,2.2965,-0.164199,-1.60865,2.22341,0.554863,-1.07882,-1.99842,-0.25728,1.7729,-1.0491,1.1679,2.08189,0.650187,0.0535926
-0.559465,0.873458,1.20461,-1.56201,0.437928,0.570151,1.39001,0.592879,0.898829,0.690102,-0.423568,0.988502,0.927904,-0.900015,-1.76219,0.0539848,0.0297656,0.133176,1.07877,0.610282,1.80978,0.809486,0.581461,1.44589
0.633428,-1.77055,-2.43759,0.483457,-1.69258,-1.874,-1.61576,-0.667595,0.0916666,1.41598,-0.182098,-1.02203,-1.89757,0.992993,0.480014,-0.0348259,-0.345636,0.827749,-0.406292,0.131421,-1.91819,-0.68567,-0.039908,-1.39755
-0.13727,0.45382,-0.602815,0.233279,0.968409,-0.340481,0.769064,-0.601573,0.111624,0.350444,0.290265,-0.398382,-0.135055,0.656307,0.673896,-1.8025,0.534484,-0.254159,-0.379237,-1.15297,-1.11339,-0.0575923,-1.23804,0.0554123
0.249649,0.621489,0.558339,1.58832,0.425868,-0.118316,0.559377,0.924294,1.49602,1.09184,1.66115,-0.739592,-1.78573,2.39394,1.04328,-3.35645,-0.530302,-0.344153,0.803829,-1.97447,-1.13493,1.12754,-1.43482,-0.115329
