ch00,ch01,ch02,ch03,ch04,ch05,ch06,ch07,ch08,ch09,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23
-2.74411,0.189197,-0.368137,-2.39072,1.84377,-0.214711,-0.852173,2.01737,-3.73273,-0.684108,-0.111968,2.88821,-1.34356,-0.464951,-4.89005,1.12479,2.88446,3.25591,-1.89678,1.67005,-1.12327,1.68477,-0.0294312,-0.959589
-5.46668,1.81331,1.54968,-2.68389,0.770307,0.768004,-0.648318,-0.149206,2.47423,0.256666,0.172375,-2.55745,1.72161,0.58871,1.18159,0.283016,-2.90432,-2.18211,3.67626,-1.24167,0.273314,0.732513,-0.0899559,-0.440468
-8.76129,0.950712,-0.306747,-6.51287,0.500909,3.4294,1.61383,1.88541,2.11963,0.443179,0.122181,-3.45602,2.1944,3.68374,1.80242,-0.00362808,-3.85427,-2.56073,5.18328,-3.29149,-2.85292,-0.570239,-0.594131,1.16519
1.77548,-0.0972606,1.47753,2.21733,-0.188003,-1.72979,-1.04517,-1.72205,0.631372,0.234653,-0.781092,0.039197,0.430089,-2.17348,-0.797121,0.583009,-0.076665,-0.0242116,-0.229774,1.2026,2.80557,0.921323,0.783423,-1.7
5.14898,2.05777,2.53038,5.39454,0.811735,-3.97021,-4.15,-2.18737,-0.647077,-0.931379,0.669728,2.63439,-1.69001,-5.07113,-1.82424,0.584727,2.72344,1.70438,-3.22919,3.31622,3.89814,2.30397,0.450252,-1.92849
-1.48371,-0.203491,1.97909,-0.0193724,0.61195,-1.77811,-1.12568,-1.25099,0.0154298,0.242452,-1.52897,0.0380879,1.06489,-2.21382,-3.03962,1.50684,-0.273553,0.527736,0.548576,1.81271,2.97871,1.85733,1.12294,-2.85819
-2.19912,0.939141,-0.283216,-1.78508,0.781511,0.70483,-0.282128,1.2632,-0.625518,-0.422329,0.643457,0.337433,-0.447213,0.704518,-0.546967,0.0504223,0.372456,0.44038,0.174257,-0.229366,-1.37606,0.208176,-0.56113,0.61102
-2.79035,0.298717,-1.05968,-2.55964,0.110324,1.90596,1.05136,1.41661,0.406626,-0.00262812,0.59191,-0.817166,0.202067,2.30426,1.28453,-0.588351,-0.904097,-0.820938,1.40221,-1.73531,-2.34213,-0.90136,-0.628188,1.50409
-6.9213,1.34019,0.702671,-4.64113,1.71584,1.08689,-0.587398,1.49942,-0.379097,-0.173122,-0.0657473,-0.598167,0.936154,0.751955,-2.27976,0.96987,-0.84519,0.284229,2.32443,-0.324532,-0.834699,1.43551,-0.162603,-0.834121
6.93057,-3.40979,-2.18129,3.383,-2.39718,-0.0111055,2.53816,-0.846282,-0.390941,0.586749,-0.698024,0.432046,-0.576228,0.745607,1.68359,-0.989332,0.872454,0.18809,-2.36691,-0.204347,-0.203657,-2.45459,0.249292,1.09222
5.94589,-0.393712,-0.317957,4.27431,-1.42972,-0.814828,-0.0782324,-1.43312,1.00968,0.158183,0.504185,0.0760354,-0.754559,-0.722509,2.82019,-1.0871,0.302399,-0.807578,-1.52606,-0.0731832,0.812193,-1.19089,-0.0899998,1.02057
-8.57982,2.21283,1.48696,-5.28524,2.20937,0.956547,-1.25861,1.45764,0.0374874,-0.35179,-0.0245914,-0.867076,1.08516,0.390677,-2.47726,1.24537,-1.35871,-0.0358231,3.08373,-0.359092,-0.595703,2.0695,-0.0571591,-1.10428
2.25588,-2.70969,-0.217508,1.12367,-0.303798,-1.30909,0.768532,-0.449565,-2.15088,0.317755,-1.97542,1.67724,-0.0565824,-1.32702,-3.939,1.12304,1.84042,2.15291,-2.07302,2.11921,1.73277,0.455123,1.05523,-2.08534
-0.805303,-2.22278,-1.44746,-1.64731,-1.55885,1.99259,3.04365,0.36927,1.29871,0.953462,-1.01586,-2.29346,1.43026,2.70578,1.91386,-0.528078,-2.28779,-1.70315,1.95438,-2.08802,-1.32602,-1.93537,0.163626,0.910489
4.17059,-3.16218,-0.0144724,2.79497,-2.45028,-0.600694,2.21145,-2.52134,2.35625,1.37415,-2.11185,-2.07858,1.86464,-0.296036,1.8324,-0.0921213,-2.26081,-1.98789,0.666,-0.325047,2.62723,-1.42643,1.30047,-0.911838
1.52323,-0.0988284,-0.510364,1.10186,-1.60971,1.07213,1.26148,-0.914877,2.99657,0.582609,0.56536,-2.61496,0.927032,1.60805,4.93261,-1.32802,-2.61841,-2.91516,1.74256,-2.32532,-0.526555,-1.92693,-0.278458,1.83337
-6.7696,0.883507,1.51673,-4.12223,1.70552,0.167095,-0.884387,0.808254,-0.514285,-0.123607,-0.90621,-0.33478,1.26988,-0.289614,-3.68681,1.59599,-0.823666,0.632919,2.25655,0.634413,0.647335,2.04596,0.503812,-1.98074
-5.64849,2.09216,0.607126,-3.62225,1.75516,0.773673,-1.26222,1.59868,-0.549581,-0.51098,0.643326,0.183765,0.0295039,0.526525,-1.59155,0.58336,-0.0526051,0.538108,1.43498,-0.229493,-1.32997,1.39374,-0.428239,-0.107342
-3.5576,-1.53081,0.165873,-2.58982,-0.143538,0.710781,1.55157,-0.0639535,0.649418,0.809045,-1.87107,-1.68821,2.02858,0.889079,-1.39886,0.930611,-1.97393,-0.732583,2.32821,-0.451208,0.509491,0.181697,0.907302,-1.25193
4.21924,-2.50129,0.291836,3.12016,-1.33196,-1.53943,0.612845,-1.95272,0.162901,0.645315,-1.74473,0.0489399,0.445394,-1.64839,-0.869089,0.473362,0.0987977,0.311357,-1.26799,1.13613,2.74626,-0.223239,1.20756,-1.595
-4.36485,2.39268,0.747761,-2.47771,1.93258,0.16205,-1.79421,1.37167,-1.04018,-0.856638,0.945346,1.01481,-0.675393,-0.176435,-1.85143,0.605986,0.818083,1.16948,0.325564,0.38046,-1.01846,1.55917,-0.492374,-0.252901
0.103084,2.08503,0.158402,0.474215,0.670929,-0.0458519,-1.37503,0.429419,0.363559,-0.637498,1.73681,0.424331,-1.01523,-0.0769893,1.42209,-0.7036,0.477055,-0.204817,-0.315674,-0.331862,-0.906263,0.18059,-0.931608,1.09226
0.128881,-1.6181,-0.190404,-0.160732,-0.920773,0.361317,1.44208,-0.749802,1.10841,0.781343,-1.10317,-1.40814,1.29811,0.498734,0.44939,0.191213,-1.50259,-1.02946,1.05766,-0.496046,0.781877,-0.647697,0.68754,-0.454777
-2.2464,-0.007058,-0.270024,-1.64177,-0.697176,1.56368,1.36747,-0.0156084,2.2437,0.623945,0.0693207,-2.55165,1.42914,1.95646,2.92775,-0.568483,-2.77895,-2.39076,2.72477,-2.10472,-0.744404,-1.06026,-0.0761793,0.958856
-2.02987,-1.03477,2.49666,-0.160193,0.230154,-1.78203,-0.669629,-1.92413,0.879394,0.793699,-2.40203,-0.974723,2.24798,-2.54102,-3.30165,1.92262,-1.42453,0.0087206,1.59116,1.69748,4.09344,1.9138,1.67182,-3.73875
2.15757,-0.469567,0.156178,1.65587,-0.213897,-0.944527,-0.413992,-0.576456,-0.628397,-0.105587,-0.205276,0.91908,-0.46741,-1.07381,-0.805192,0.204874,1.00817,0.825976,-1.4533,0.976021,0.937361,0.155492,0.245425,-0.568712
1.38642,2.58931,0.878889,1.77477,0.982431,-1.246,-2.57532,-0.0570096,-0.61465,-0.985417,1.77486,1.64793,-1.68678,-1.71488,0.175916,-0.39603,1.76625,0.860524,-1.62548,0.970714,0.0327291,0.927089,-0.659254,0.379395
