stream,build,rank_c,rank_numpy,max_abs_score_diff,max_rel_score_diff,mean_abs_score_diff,subspace_projection_distance,max_principal_angle_deg,threshold_c,threshold_numpy,final_drift_c,final_drift_numpy,us_per_sample_x86_host
normal.csv,double,4,4,4.902e-07,1.204e-05,1.972e-08,5.275e-07,1.837e-05,0.0073705523,0.0073706247,6.770e-15,2.305e-14,5.273
normal.csv,float32,4,4,4.818e-07,1.183e-05,2.340e-08,2.818e-06,6.135e-02,0.0073705348,0.0073706247,1.799e-06,2.305e-14,5.225
anomalous.csv,double,4,4,9.888e-07,3.350e-06,2.294e-08,2.375e-07,5.663e-06,0.010184465,0.010184032,7.022e-15,1.385e-14,5.681
anomalous.csv,float32,4,4,1.351e-06,4.575e-06,1.110e-07,6.551e-06,5.286e-02,0.010184472,0.010184032,2.267e-06,1.385e-14,5.374
multimode.csv,double,5,5,8.121e-07,1.850e-06,2.790e-08,3.792e-07,1.281e-05,0.29661933,0.29661938,1.487e-14,1.834e-14,6.516
multimode.csv,float32,5,5,2.054e-06,4.678e-06,1.537e-07,3.792e-06,6.625e-02,0.2966193,0.29661938,3.397e-06,1.834e-14,6.242
manymode.csv,double,8,8,9.882e-03,9.886e-03,1.550e-04,5.785e-04,2.028e-02,0.99609684,0.99610432,8.781e-15,1.779e-14,10.667
manymode.csv,float32,8,8,9.998e-03,1.000e-02,1.570e-04,5.875e-04,9.929e-02,0.99609673,0.99610432,7.958e-06,1.779e-14,9.047
rotating.csv,double,4,4,7.028e-07,1.060e-05,2.758e-08,2.214e-07,8.322e-06,0.021298677,0.021298416,6.144e-15,2.353e-14,5.635
rotating.csv,float32,4,4,1.467e-06,2.214e-05,3.383e-07,6.689e-06,6.899e-02,0.021298572,0.021298416,5.113e-06,2.353e-14,5.467
