scenario,rank,rank_actual,effective_window,auc_incremental,auc_batch_same_rank,complement_dimension
unimodal,4,4,inf,0.98477,0.98484,20
unimodal,4,4,400,0.98468,0.98484,20
unimodal,4,4,100,0.98464,0.98484,20
unimodal,4,4,50,0.98462,0.98484,20
unimodal,5,5,inf,0.98573,0.98563,19
unimodal,5,5,400,0.98458,0.98563,19
unimodal,5,5,100,0.98452,0.98563,19
unimodal,5,5,50,0.98473,0.98563,19
unimodal,6,6,inf,0.98506,0.9852,18
unimodal,6,6,400,0.98441,0.9852,18
unimodal,6,6,100,0.98504,0.9852,18
unimodal,6,6,50,0.98467,0.9852,18
unimodal,8,8,inf,0.98373,0.98561,16
unimodal,8,8,400,0.9839,0.98561,16
unimodal,8,8,100,0.98402,0.98561,16
unimodal,8,8,50,0.9845,0.98561,16
unimodal,10,10,inf,0.98468,0.98577,14
unimodal,10,10,400,0.9842,0.98577,14
unimodal,10,10,100,0.98427,0.98577,14
unimodal,10,10,50,0.98558,0.98577,14
unimodal,13,13,inf,0.98334,0.98437,11
unimodal,13,13,400,0.98261,0.98437,11
unimodal,13,13,100,0.98293,0.98437,11
unimodal,13,13,50,0.98458,0.98437,11
unimodal,16,16,inf,0.97925,0.98283,8
unimodal,16,16,400,0.97912,0.98283,8
unimodal,16,16,100,0.97913,0.98283,8
unimodal,16,16,50,0.98109,0.98283,8
"multimode (2 modes, dwell 150)",4,4,inf,0.56748,0.56452,20
"multimode (2 modes, dwell 150)",4,4,400,0.56858,0.56452,20
"multimode (2 modes, dwell 150)",4,4,100,0.56753,0.56452,20
"multimode (2 modes, dwell 150)",4,4,50,0.58479,0.56452,20
"multimode (2 modes, dwell 150)",5,5,inf,0.64925,0.64341,19
"multimode (2 modes, dwell 150)",5,5,400,0.648,0.64341,19
"multimode (2 modes, dwell 150)",5,5,100,0.66923,0.64341,19
"multimode (2 modes, dwell 150)",5,5,50,0.71964,0.64341,19
"multimode (2 modes, dwell 150)",6,6,inf,0.98597,0.98605,18
"multimode (2 modes, dwell 150)",6,6,400,0.98595,0.98605,18
"multimode (2 modes, dwell 150)",6,6,100,0.98582,0.98605,18
"multimode (2 modes, dwell 150)",6,6,50,0.98567,0.98605,18
"multimode (2 modes, dwell 150)",8,8,inf,0.98569,0.9859,16
"multimode (2 modes, dwell 150)",8,8,400,0.98442,0.9859,16
"multimode (2 modes, dwell 150)",8,8,100,0.98567,0.9859,16
"multimode (2 modes, dwell 150)",8,8,50,0.98494,0.9859,16
"multimode (2 modes, dwell 150)",10,10,inf,0.9853,0.9866,14
"multimode (2 modes, dwell 150)",10,10,400,0.98406,0.9866,14
"multimode (2 modes, dwell 150)",10,10,100,0.98491,0.9866,14
"multimode (2 modes, dwell 150)",10,10,50,0.98464,0.9866,14
"multimode (2 modes, dwell 150)",13,13,inf,0.98414,0.98532,11
"multimode (2 modes, dwell 150)",13,13,400,0.98404,0.98532,11
"multimode (2 modes, dwell 150)",13,13,100,0.98389,0.98532,11
"multimode (2 modes, dwell 150)",13,13,50,0.98595,0.98532,11
"multimode (2 modes, dwell 150)",16,16,inf,0.97823,0.98212,8
"multimode (2 modes, dwell 150)",16,16,400,0.97783,0.98212,8
"multimode (2 modes, dwell 150)",16,16,100,0.97659,0.98212,8
"multimode (2 modes, dwell 150)",16,16,50,0.98142,0.98212,8
"manymode (4 modes, dwell 100)",4,4,inf,0.4889,0.5046,20
"manymode (4 modes, dwell 100)",4,4,400,0.48584,0.5046,20
"manymode (4 modes, dwell 100)",4,4,100,0.51262,0.5046,20
"manymode (4 modes, dwell 100)",4,4,50,0.49255,0.5046,20
"manymode (4 modes, dwell 100)",5,5,inf,0.51474,0.51119,19
"manymode (4 modes, dwell 100)",5,5,400,0.51491,0.51119,19
"manymode (4 modes, dwell 100)",5,5,100,0.52367,0.51119,19
"manymode (4 modes, dwell 100)",5,5,50,0.51082,0.51119,19
"manymode (4 modes, dwell 100)",6,6,inf,0.5194,0.51289,18
"manymode (4 modes, dwell 100)",6,6,400,0.51974,0.51289,18
"manymode (4 modes, dwell 100)",6,6,100,0.53759,0.51289,18
"manymode (4 modes, dwell 100)",6,6,50,0.53823,0.51289,18
"manymode (4 modes, dwell 100)",8,8,inf,0.55734,0.53746,16
"manymode (4 modes, dwell 100)",8,8,400,0.57952,0.53746,16
"manymode (4 modes, dwell 100)",8,8,100,0.56086,0.53746,16
"manymode (4 modes, dwell 100)",8,8,50,0.68301,0.53746,16
"manymode (4 modes, dwell 100)",10,10,inf,0.667,0.66156,14
"manymode (4 modes, dwell 100)",10,10,400,0.65938,0.66156,14
"manymode (4 modes, dwell 100)",10,10,100,0.68121,0.66156,14
"manymode (4 modes, dwell 100)",10,10,50,0.84993,0.66156,14
"manymode (4 modes, dwell 100)",13,13,inf,0.97757,0.97889,11
"manymode (4 modes, dwell 100)",13,13,400,0.97765,0.97889,11
"manymode (4 modes, dwell 100)",13,13,100,0.97673,0.97889,11
"manymode (4 modes, dwell 100)",13,13,50,0.96457,0.97889,11
"manymode (4 modes, dwell 100)",16,16,inf,0.97705,0.97879,8
"manymode (4 modes, dwell 100)",16,16,400,0.97636,0.97879,8
"manymode (4 modes, dwell 100)",16,16,100,0.97582,0.97879,8
"manymode (4 modes, dwell 100)",16,16,50,0.96758,0.97879,8
