method,update,drift
"C double, reorth",0,4.645151e-15
"C double, reorth",50,4.645151e-15
"C double, reorth",100,4.645151e-15
"C double, reorth",150,4.645151e-15
"C double, reorth",200,4.645151e-15
"C double, reorth",250,4.645151e-15
"C double, reorth",300,4.645151e-15
"C double, reorth",350,6.724986e-15
"C double, reorth",400,6.289405e-15
"C double, reorth",450,6.274599e-15
"C double, reorth",500,9.086918e-15
"C double, reorth",550,1.097493e-14
"C double, reorth",600,8.856387e-15
"C double, reorth",650,1.143140e-14
"C double, reorth",700,1.309195e-14
"C double, reorth",750,1.706374e-14
"C double, reorth",800,2.021136e-14
"C double, reorth",850,2.253902e-14
"C double, reorth",900,8.374969e-15
"C double, reorth",950,8.217869e-15
"C double, reorth",1000,9.147894e-15
"C double, reorth",1050,7.166249e-15
"C double, reorth",1100,7.251681e-15
"C double, reorth",1150,7.238560e-15
"C double, reorth",1200,6.024628e-15
"C double, reorth",1250,9.080364e-15
"C double, reorth",1300,8.799871e-15
"C double, reorth",1350,1.294055e-14
"C double, reorth",1400,1.379579e-14
"C double, reorth",1450,1.536731e-14
"C double, reorth",1500,1.367025e-14
"C double, reorth",1550,1.304333e-14
"C double, reorth",1600,1.674439e-14
"C double, reorth",1650,1.452253e-14
"C double, reorth",1700,1.276675e-14
"C double, reorth",1750,1.024321e-14
"C double, reorth",1800,1.019766e-14
"C double, reorth",1850,1.126387e-14
"C double, reorth",1900,1.398310e-14
"C double, reorth",1950,1.243328e-14
"C double, reorth",2000,1.588764e-14
"C double, reorth",2050,1.305028e-14
"C double, reorth",2100,2.061165e-14
"C double, reorth",2150,3.521353e-15
"C double, reorth",2200,8.054652e-15
"C double, reorth",2250,9.496043e-15
"C double, reorth",2300,7.886073e-15
"C double, reorth",2350,8.266483e-15
"C double, reorth",2400,8.217432e-15
"C double, reorth",2450,7.139463e-15
"C double, reorth",2500,7.352714e-15
"C double, reorth",2550,1.280931e-14
"C double, reorth",2600,1.303900e-14
"C double, reorth",2650,1.272336e-14
"C double, reorth",2700,5.763520e-15
"C double, reorth",2750,9.019915e-15
"C double, reorth",2800,1.262053e-14
"C double, reorth",2850,1.380606e-14
"C double, reorth",2900,1.250174e-14
"C double, reorth",2950,1.147491e-14
"C double, reorth",3000,1.105360e-14
"C double, reorth",3050,9.817332e-15
"C double, reorth",3100,1.372480e-14
"C double, reorth",3150,1.599408e-14
"C double, reorth",3200,1.864843e-14
"C double, reorth",3250,1.954324e-14
"C double, reorth",3300,2.179867e-14
"C double, reorth",3350,2.110646e-14
"C double, reorth",3400,2.108015e-14
"C double, reorth",3450,1.712667e-14
"C double, reorth",3500,1.633210e-14
"C double, reorth",3550,1.452566e-14
"C double, reorth",3600,1.613194e-14
"C double, reorth",3650,1.995003e-14
"C double, reorth",3700,1.961845e-14
"C double, reorth",3750,2.267441e-14
"C double, reorth",3800,6.781420e-15
"C double, reorth",3850,7.196381e-15
"C double, reorth",3900,1.312510e-14
"C double, reorth",3950,1.357869e-14
"C double, reorth",4000,1.794364e-14
"C double, reorth",4050,2.169624e-14
"C double, reorth",4100,3.910571e-15
"C double, reorth",4150,6.189333e-15
"C double, reorth",4200,7.840766e-15
"C double, reorth",4250,9.793423e-15
"C double, reorth",4300,1.419476e-14
"C double, reorth",4350,1.276054e-14
"C double, reorth",4400,1.922593e-14
"C double, reorth",4450,4.612913e-15
"C double, reorth",4500,7.466008e-15
"C double, reorth",4550,7.939289e-15
"C double, reorth",4600,9.683937e-15
"C double, reorth",4650,1.006829e-14
"C double, reorth",4700,1.558849e-14
"C double, reorth",4750,1.811144e-14
"C double, reorth",4800,5.915108e-15
"C double, reorth",4850,5.831360e-15
"C double, reorth",4900,1.017871e-14
"C double, reorth",4950,1.017301e-14
"C double, reorth",5000,1.083177e-14
"C double, reorth",5050,1.740921e-14
"C double, reorth",5100,1.502566e-14
"C double, reorth",5150,1.849607e-14
"C double, reorth",5200,1.822518e-14
"C double, reorth",5250,1.861095e-14
"C double, reorth",5300,1.854120e-14
"C double, reorth",5350,1.438126e-14
"C double, reorth",5400,1.708070e-14
"C double, reorth",5450,2.198918e-14
"C double, reorth",5500,1.835151e-14
"C double, reorth",5550,1.478982e-14
"C double, reorth",5600,1.425900e-14
"C double, reorth",5650,1.370155e-14
"C double, reorth",5700,1.247825e-14
"C double, reorth",5750,1.006445e-14
"C double, reorth",5800,1.437732e-14
"C double, reorth",5850,1.686942e-14
"C double, reorth",5900,1.594699e-14
"C double, reorth",5950,1.907613e-14
"C double, reorth",6000,1.571769e-14
"C double, reorth",6050,1.309435e-14
"C double, reorth",6100,1.559308e-14
"C double, reorth",6150,1.858243e-14
"C double, reorth",6200,1.986824e-14
"C double, reorth",6250,1.752859e-14
"C double, reorth",6300,1.405766e-14
"C double, reorth",6350,1.349838e-14
"C double, reorth",6400,1.841904e-14
"C double, reorth",6450,1.634229e-14
"C double, reorth",6500,1.754799e-14
"C double, reorth",6550,2.129851e-14
"C double, reorth",6600,1.944020e-14
"C double, reorth",6650,2.341696e-14
"C double, reorth",6700,6.205871e-15
"C double, reorth",6750,5.527995e-15
"C double, reorth",6800,9.845526e-15
"C double, reorth",6850,9.140573e-15
"C double, reorth",6900,1.035763e-14
"C double, reorth",6950,8.418920e-15
"C double, reorth",7000,8.319600e-15
"C double, reorth",7050,1.323073e-14
"C double, reorth",7100,1.853330e-14
"C double, reorth",7150,1.740710e-14
"C double, reorth",7200,4.490805e-15
"C double, reorth",7250,5.151114e-15
"C double, reorth",7300,8.099616e-15
"C double, reorth",7350,9.256308e-15
"C double, reorth",7400,1.489665e-14
"C double, reorth",7450,1.534599e-14
"C double, reorth",7500,1.394448e-14
"C double, reorth",7550,1.095703e-14
"C double, reorth",7600,1.366070e-14
"C double, reorth",7650,1.737142e-14
"C double, reorth",7700,1.929349e-14
"C double, reorth",7750,1.782090e-14
"C double, reorth",7800,1.502470e-14
"C double, reorth",7850,1.393829e-14
"C double, reorth",7900,1.446084e-14
"C double, reorth",7950,1.507781e-14
"C double, reorth",8000,1.647995e-14
"C double, reorth",8050,1.912558e-14
"C double, reorth",8100,1.894359e-14
"C double, reorth",8150,2.166990e-14
"C double, reorth",8200,5.407054e-15
"C double, reorth",8250,1.383925e-14
"C double, reorth",8300,5.825648e-15
"C double, reorth",8350,5.930917e-15
"C double, reorth",8400,7.888815e-15
"C double, reorth",8450,1.203814e-14
"C double, reorth",8500,1.275327e-14
"C double, reorth",8550,1.152413e-14
"C double, reorth",8600,1.408458e-14
"C double, reorth",8650,1.415898e-14
"C double, reorth",8700,1.630847e-14
"C double, reorth",8750,1.571845e-14
"C double, reorth",8800,1.700194e-14
"C double, reorth",8850,1.514185e-14
"C double, reorth",8900,1.441051e-14
"C double, reorth",8950,1.533225e-14
"C double, reorth",9000,2.148717e-14
"C double, reorth",9050,2.101636e-14
"C double, reorth",9100,2.012083e-14
"C double, reorth",9150,2.139362e-14
"C double, reorth",9200,8.374808e-15
"C double, reorth",9250,1.069167e-14
"C double, reorth",9300,1.003315e-14
"C double, reorth",9350,1.069448e-14
"C double, reorth",9400,1.029756e-14
"C double, reorth",9450,1.142737e-14
"C double, reorth",9500,1.203382e-14
"C double, reorth",9550,1.208514e-14
"C double, reorth",9600,1.433307e-14
"C double, reorth",9650,1.710500e-14
"C double, reorth",9700,1.899077e-14
"C double, reorth",9750,2.137699e-14
"C double, reorth",9800,1.866924e-14
"C double, reorth",9850,2.422059e-14
"C double, reorth",9900,7.487978e-15
"C double, reorth",9950,7.842033e-15
"C double, reorth",10000,6.341617e-15
"C double, reorth",10050,6.681052e-15
"C double, reorth",10100,6.577127e-15
"C double, reorth",10150,9.546958e-15
"C double, reorth",10200,1.106496e-14
"C double, reorth",10250,1.140834e-14
"C double, reorth",10300,1.477094e-14
"C double, reorth",10350,1.611900e-14
"C double, reorth",10400,1.128940e-14
"C double, reorth",10450,1.457114e-14
"C double, reorth",10500,2.324057e-14
"C double, reorth",10550,7.347423e-15
"C double, reorth",10600,8.070065e-15
"C double, reorth",10650,1.074118e-14
"C double, reorth",10700,1.759940e-14
"C double, reorth",10750,1.951069e-14
"C double, reorth",10800,2.074740e-14
"C double, reorth",10850,1.532128e-14
"C double, reorth",10900,1.645696e-14
"C double, reorth",10950,1.983144e-14
"C double, reorth",11000,2.091428e-14
"C double, reorth",11050,2.312886e-14
"C double, reorth",11100,4.635604e-15
"C double, reorth",11150,6.360335e-15
"C double, reorth",11200,6.832151e-15
"C double, reorth",11250,1.101990e-14
"C double, reorth",11300,8.446075e-15
"C double, reorth",11350,1.594391e-14
"C double, reorth",11400,1.431856e-14
"C double, reorth",11450,1.074658e-14
"C double, reorth",11500,7.799488e-15
"C double, reorth",11550,7.279747e-15
"C double, reorth",11600,7.044766e-15
"C double, reorth",11650,1.256671e-14
"C double, reorth",11700,1.367945e-14
"C double, reorth",11750,1.744088e-14
"C double, reorth",11800,1.282670e-14
"C double, reorth",11850,1.306183e-14
"C double, reorth",11900,1.070716e-14
"C double, reorth",11950,1.325054e-14
"C double, reorth",12000,1.698987e-14
"C double, reorth",12050,1.290436e-14
"C double, reorth",12100,1.410068e-14
"C double, reorth",12150,1.981771e-14
"C double, reorth",12200,1.789504e-14
"C double, reorth",12250,1.712479e-14
"C double, reorth",12300,2.302491e-14
"C double, reorth",12350,3.657198e-15
"C double, reorth",12400,7.928292e-15
"C double, reorth",12450,1.262216e-14
"C double, reorth",12500,1.979268e-14
"C double, reorth",12550,2.020545e-14
"C double, reorth",12600,2.218661e-14
"C double, reorth",12650,3.829921e-15
"C double, reorth",12700,8.325411e-15
"C double, reorth",12750,9.155874e-15
"C double, reorth",12800,1.135184e-14
"C double, reorth",12850,1.043851e-14
"C double, reorth",12900,1.970534e-14
"C double, reorth",12950,1.925140e-14
"C double, reorth",13000,1.598083e-14
"C double, reorth",13050,1.722933e-14
"C double, reorth",13100,6.337395e-15
"C double, reorth",13150,1.298669e-14
"C double, reorth",13200,1.480100e-14
"C double, reorth",13250,1.506893e-14
"C double, reorth",13300,2.011843e-14
"C double, reorth",13350,2.035383e-14
"C double, reorth",13400,1.765725e-14
"C double, reorth",13450,1.966160e-14
"C double, reorth",13500,2.017846e-14
"C double, reorth",13550,2.022820e-14
"C double, reorth",13600,1.998846e-14
"C double, reorth",13650,2.374044e-14
"C double, reorth",13700,5.961864e-15
"C double, reorth",13750,8.010889e-15
"C double, reorth",13800,1.119559e-14
"C double, reorth",13850,8.643675e-15
"C double, reorth",13900,7.401211e-15
"C double, reorth",13950,5.747220e-15
"C double, reorth",14000,5.531070e-15
"C double, reorth",14050,8.481901e-15
"C double, reorth",14100,1.148676e-14
"C double, reorth",14150,1.108158e-14
"C double, reorth",14200,9.421497e-15
"C double, reorth",14250,1.213419e-14
"C double, reorth",14300,9.154271e-15
"C double, reorth",14350,1.230003e-14
"C double, reorth",14400,1.202116e-14
"C double, reorth",14450,1.026181e-14
"C double, reorth",14500,8.453193e-15
"C double, reorth",14550,1.095720e-14
"C double, reorth",14600,8.992366e-15
"C double, reorth",14650,9.488807e-15
"C double, reorth",14700,9.556333e-15
"C double, reorth",14750,9.550896e-15
"C double, reorth",14800,1.410783e-14
"C double, reorth",14850,1.372424e-14
"C double, reorth",14900,1.594692e-14
"C double, reorth",14950,1.724530e-14
"C double, reorth",15000,1.702989e-14
"C double, reorth",15050,1.899776e-14
"C double, reorth",15100,1.711138e-14
"C double, reorth",15150,1.747277e-14
"C double, reorth",15200,1.473731e-14
"C double, reorth",15250,1.700349e-14
"C double, reorth",15300,2.026689e-14
"C double, reorth",15350,2.155614e-14
"C double, reorth",15400,6.990744e-15
"C double, reorth",15450,4.981972e-15
"C double, reorth",15500,9.398896e-15
"C double, reorth",15550,1.191972e-14
"C double, reorth",15600,1.180805e-14
"C double, reorth",15650,1.332054e-14
"C double, reorth",15700,1.577850e-14
"C double, reorth",15750,1.690076e-14
"C double, reorth",15800,1.675454e-14
"C double, reorth",15850,1.706819e-14
"C double, reorth",15900,1.527582e-14
"C double, reorth",15950,1.789501e-14
"C double, reorth",16000,1.962547e-14
"C double, reorth",16050,2.189096e-14
"C double, reorth",16100,1.820908e-14
"C double, reorth",16150,1.994695e-14
"C double, reorth",16200,2.214597e-14
"C double, reorth",16250,1.874344e-14
"C double, reorth",16300,1.760800e-14
