rank,oversampling,power_iters,sketch_width,n_seeds,optimal_rank_k,sketch_error_mean,sketch_error_over_optimal,truncated_error_mean,truncated_over_optimal,hmt_frobenius_bound,bound_over_optimal,sketch_error_c
8,0,0,8,20,0.31938762,0.49084227,1.53682,0.49084227,1.53682,,,0.46048167
8,2,0,10,20,0.31938762,0.44172308,1.38303,0.45114846,1.41254,0.95816285,3.0,0.42690496
8,6,0,14,20,0.31938762,0.36206546,1.13362,0.39620417,1.24051,0.51499706,1.61245,0.36410986
8,16,0,24,20,0.31938762,0.25799189,0.80777,0.34921309,1.09338,0.39549078,1.23828,0.25069705
8,0,1,8,20,0.31938762,0.3403479,1.06563,0.3403479,1.06563,,,0.33777238
8,2,1,10,20,0.31938762,0.29950642,0.93775,0.32646701,1.02217,0.95816285,3.0,0.30265928
8,6,1,14,20,0.31938762,0.24594033,0.77004,0.32070803,1.00413,0.51499706,1.61245,0.24973983
8,16,1,24,20,0.31938762,0.17121721,0.53608,0.31946239,1.00023,0.39549078,1.23828,0.1719106
8,0,2,8,20,0.31938762,0.32798842,1.02693,0.32798842,1.02693,,,0.32957249
8,2,2,10,20,0.31938762,0.28871396,0.90396,0.32088878,1.0047,0.95816285,3.0,0.29041921
8,6,2,14,20,0.31938762,0.2366892,0.74107,0.31945875,1.00022,0.51499706,1.61245,0.24201151
8,16,2,24,20,0.31938762,0.16349832,0.51191,0.31938814,1.0,0.39549078,1.23828,0.16436337
