stream,index,sigma,cumulative_energy,gap_ratio,r_energy_95,r_gap
normal.csv,1,140.75830309,0.46579955,1.283534,4,4
normal.csv,2,109.66466481,0.74853773,1.303576,4,4
normal.csv,3,84.12602386,0.9149218,1.404151,4,4
normal.csv,4,59.91239694,0.99931052,42.203016,4,4
normal.csv,5,1.41962357,0.9993579,1.041534,4,4
normal.csv,6,1.36301206,0.99940158,1.011392,4,4
normal.csv,7,1.34765891,0.99944428,1.015553,4,4
normal.csv,8,1.32702011,0.99948568,1.011251,4,4
normal.csv,9,1.312256,0.99952616,1.022265,4,4
normal.csv,10,1.28367504,0.9995649,1.020858,4,4
normal.csv,11,1.25744662,0.99960208,1.006903,4,4
normal.csv,12,1.2488265,0.99963874,1.009124,4,4
normal.csv,13,1.23753575,0.99967475,1.00885,4,4
normal.csv,14,1.22667944,0.99971012,1.02288,4,4
normal.csv,15,1.19924029,0.99974394,1.012998,4,4
normal.csv,16,1.18385304,0.99977688,1.017455,4,4
normal.csv,17,1.16354294,0.99980871,1.016304,4,4
normal.csv,18,1.14487722,0.99983953,1.020188,4,4
normal.csv,19,1.12222211,0.99986914,1.024289,4,4
normal.csv,20,1.09561037,0.99989736,1.006397,4,4
normal.csv,21,1.08864646,0.99992522,1.024331,4,4
normal.csv,22,1.06278806,0.99995177,1.04373,4,4
normal.csv,23,1.01825978,0.99997615,1.010997,4,4
normal.csv,24,1.00718415,1.0,,4,4
anomalous.csv,1,152.76817262,0.50942954,1.424067,4,4
anomalous.csv,2,107.27599109,0.76063173,1.240578,4,4
anomalous.csv,3,86.47258374,0.92385243,1.47033,4,4
anomalous.csv,4,58.81167441,0.99935217,41.293732,4,4
anomalous.csv,5,1.42422765,0.99939645,1.029429,4,4
anomalous.csv,6,1.38351257,0.99943823,1.013681,4,4
anomalous.csv,7,1.36483963,0.99947889,1.023597,4,4
anomalous.csv,8,1.33337599,0.9995177,1.020094,4,4
anomalous.csv,9,1.30711123,0.99955499,1.023137,4,4
anomalous.csv,10,1.277553,0.99959062,1.017511,4,4
anomalous.csv,11,1.25556718,0.99962503,1.004725,4,4
anomalous.csv,12,1.24966235,0.99965912,1.005131,4,4
anomalous.csv,13,1.24328254,0.99969286,1.019889,4,4
anomalous.csv,14,1.21903664,0.9997253,1.011572,4,4
anomalous.csv,15,1.20509183,0.999757,1.014806,4,4
anomalous.csv,16,1.1875096,0.99978778,1.011824,4,4
anomalous.csv,17,1.17363276,0.99981784,1.014467,4,4
anomalous.csv,18,1.15689629,0.99984706,1.00927,4,4
anomalous.csv,19,1.14627033,0.99987574,1.024152,4,4
anomalous.csv,20,1.11923815,0.99990308,1.025296,4,4
anomalous.csv,21,1.09162412,0.9999291,1.031288,4,4
anomalous.csv,22,1.05850579,0.99995355,1.020298,4,4
anomalous.csv,23,1.03744747,0.99997705,1.011707,4,4
anomalous.csv,24,1.0254424,1.0,,4,4
multimode.csv,1,152.77593451,0.50943887,1.425606,5,6
multimode.csv,2,107.1655728,0.76010332,1.560656,5,6
multimode.csv,3,68.66699917,0.86301824,1.221611,5,6
multimode.csv,4,56.21021002,0.93198067,1.302793,5,6
multimode.csv,5,43.14593064,0.97261208,1.231047,5,6
multimode.csv,6,35.04816734,0.99942307,25.248442,5,6
multimode.csv,7,1.38813191,0.99946513,1.017548,5,6
multimode.csv,8,1.36419358,0.99950574,1.012911,5,6
multimode.csv,9,1.34680512,0.99954534,1.022678,5,6
multimode.csv,10,1.316939,0.99958319,1.010925,5,6
multimode.csv,11,1.30270735,0.99962023,1.034047,5,6
multimode.csv,12,1.25981463,0.99965487,1.009618,5,6
multimode.csv,13,1.24781377,0.99968886,1.008304,5,6
multimode.csv,14,1.23753674,0.99972228,1.017585,5,6
multimode.csv,15,1.21615044,0.99975456,1.017675,5,6
multimode.csv,16,1.19502843,0.99978573,1.008856,5,6
multimode.csv,17,1.18453777,0.99981636,1.021724,5,6
multimode.csv,18,1.15935201,0.9998457,1.011973,5,6
multimode.csv,19,1.14563476,0.99987434,1.003741,5,6
multimode.csv,20,1.14136448,0.99990278,1.039406,5,6
multimode.csv,21,1.09809316,0.9999291,1.036778,5,6
multimode.csv,22,1.05913995,0.99995358,1.020887,5,6
