elapsed_s,window_s,calls,gflops,cpu_mhz,temp_C:acpitz[0],temp_C:pch_cannonlake[1],temp_C:x86_pkg_temp[2],host,note
1.046,1.0461,14,3.5925,3900.94,30.0,44.0,76.0,x86_64 Linux 7.0.0-14-generic,measured on x86_64 Linux 7.0.0-14-generic -- NOT a Raspberry Pi 3. This validates the instrument; the Pi throttling curve is unmeasured. See STATUS.md.
2.087,1.0404,14,3.6122,3900.102,30.0,42.0,76.0,x86_64 Linux 7.0.0-14-generic,measured on x86_64 Linux 7.0.0-14-generic -- NOT a Raspberry Pi 3. This validates the instrument; the Pi throttling curve is unmeasured. See STATUS.md.
3.11,1.0228,14,3.6744,3900.96,30.0,43.0,76.0,x86_64 Linux 7.0.0-14-generic,measured on x86_64 Linux 7.0.0-14-generic -- NOT a Raspberry Pi 3. This validates the instrument; the Pi throttling curve is unmeasured. See STATUS.md.
4.13,1.0202,14,3.6835,3901.766,30.0,42.0,76.0,x86_64 Linux 7.0.0-14-generic,measured on x86_64 Linux 7.0.0-14-generic -- NOT a Raspberry Pi 3. This validates the instrument; the Pi throttling curve is unmeasured. See STATUS.md.
5.153,1.0228,14,3.6743,3900.0,30.0,43.0,76.0,x86_64 Linux 7.0.0-14-generic,measured on x86_64 Linux 7.0.0-14-generic -- NOT a Raspberry Pi 3. This validates the instrument; the Pi throttling curve is unmeasured. See STATUS.md.
6.186,1.0326,14,3.6393,3901.604,30.0,43.0,76.0,x86_64 Linux 7.0.0-14-generic,measured on x86_64 Linux 7.0.0-14-generic -- NOT a Raspberry Pi 3. This validates the instrument; the Pi throttling curve is unmeasured. See STATUS.md.
7.22,1.0333,14,3.6371,3899.998,30.0,43.0,74.0,x86_64 Linux 7.0.0-14-generic,measured on x86_64 Linux 7.0.0-14-generic -- NOT a Raspberry Pi 3. This validates the instrument; the Pi throttling curve is unmeasured. See STATUS.md.
8.263,1.0429,14,3.6036,3900.269,30.0,42.0,76.0,x86_64 Linux 7.0.0-14-generic,measured on x86_64 Linux 7.0.0-14-generic -- NOT a Raspberry Pi 3. This validates the instrument; the Pi throttling curve is unmeasured. See STATUS.md.
9.284,1.0211,14,3.6804,3900.32,30.0,42.0,76.0,x86_64 Linux 7.0.0-14-generic,measured on x86_64 Linux 7.0.0-14-generic -- NOT a Raspberry Pi 3. This validates the instrument; the Pi throttling curve is unmeasured. See STATUS.md.
10.317,1.0332,14,3.6372,3900.65,30.0,44.0,76.0,x86_64 Linux 7.0.0-14-generic,measured on x86_64 Linux 7.0.0-14-generic -- NOT a Raspberry Pi 3. This validates the instrument; the Pi throttling curve is unmeasured. See STATUS.md.
11.36,1.0421,14,3.6062,3900.563,30.0,44.0,76.0,x86_64 Linux 7.0.0-14-generic,measured on x86_64 Linux 7.0.0-14-generic -- NOT a Raspberry Pi 3. This validates the instrument; the Pi throttling curve is unmeasured. See STATUS.md.
12.395,1.0348,14,3.6318,3899.996,30.0,45.0,77.0,x86_64 Linux 7.0.0-14-generic,measured on x86_64 Linux 7.0.0-14-generic -- NOT a Raspberry Pi 3. This validates the instrument; the Pi throttling curve is unmeasured. See STATUS.md.
13.428,1.0327,14,3.639,3900.003,30.0,44.0,78.0,x86_64 Linux 7.0.0-14-generic,measured on x86_64 Linux 7.0.0-14-generic -- NOT a Raspberry Pi 3. This validates the instrument; the Pi throttling curve is unmeasured. See STATUS.md.
14.5,1.0721,14,3.5055,3900.011,30.0,44.0,75.0,x86_64 Linux 7.0.0-14-generic,measured on x86_64 Linux 7.0.0-14-generic -- NOT a Raspberry Pi 3. This validates the instrument; the Pi throttling curve is unmeasured. See STATUS.md.
15.545,1.045,13,3.3393,3900.253,30.0,43.0,77.0,x86_64 Linux 7.0.0-14-generic,measured on x86_64 Linux 7.0.0-14-generic -- NOT a Raspberry Pi 3. This validates the instrument; the Pi throttling curve is unmeasured. See STATUS.md.
