variant,snr_db,n_seeds,precision,recall,f1,start_mae_ms,end_mae_ms,match_rate,n_pred_per_true,unvoiced_recall,source
full,30.0,20,0.9602,1.0,0.9795,13.78,23.7,1.0,1.0,1.0,measured on this host
full,25.0,20,0.9824,0.9979,0.99,11.06,13.45,1.0,1.0,0.9946,measured on this host
full,20.0,20,0.9931,0.9271,0.9584,25.79,19.97,1.0,1.0,0.8092,measured on this host
full,15.0,20,0.9974,0.8102,0.8936,49.45,41.6,1.0,1.0,0.5078,measured on this host
full,10.0,20,0.9964,0.5678,0.7122,83.09,68.34,0.825,0.825,0.1556,measured on this host
full,5.0,20,0.8484,0.2081,0.3266,98.63,73.75,0.3125,0.312,0.0358,measured on this host
full,0.0,20,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,measured on this host
energy_only,30.0,20,0.9669,0.9927,0.9794,10.29,23.57,1.0,1.0,0.9813,measured on this host
energy_only,25.0,20,0.9886,0.9247,0.955,33.62,12.85,1.0,1.0,0.8045,measured on this host
energy_only,20.0,20,0.996,0.7905,0.8811,77.14,24.53,1.0,1.0,0.4547,measured on this host
energy_only,15.0,20,0.9975,0.7173,0.8343,87.47,47.31,1.0,1.0,0.2658,measured on this host
energy_only,10.0,20,0.9962,0.5441,0.6936,93.84,71.96,0.825,0.825,0.0973,measured on this host
energy_only,5.0,20,0.8483,0.2016,0.3183,106.86,77.48,0.3125,0.312,0.0216,measured on this host
energy_only,0.0,20,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,measured on this host
