policy,regime,n_steps,per_step_success,mean_model_p,predicted_end_to_end,measured_end_to_end,gap_measured_minus_predicted,ratio_measured_over_predicted,seconds_per_episode,n_episodes
always-small,correlated,1,0.732,0.7417,0.732,0.732,0.0,1.0,0.535,1500
always-small,correlated,2,0.731,0.73928,0.534361,0.585333,0.050972,1.0954,1.07,1500
always-small,correlated,3,0.74244,0.74826,0.409253,0.491333,0.08208,1.2006,1.605,1500
always-small,correlated,5,0.74667,0.74297,0.232078,0.372667,0.140589,1.6058,2.675,1500
always-small,correlated,8,0.73475,0.74238,0.084941,0.262667,0.177726,3.0923,4.28,1500
always-small,correlated,12,0.74478,0.74146,0.029129,0.199333,0.170205,6.8432,6.42,1500
always-small,independent,1,0.73733,0.74686,0.737333,0.737333,0.0,1.0,0.535,1500
always-small,independent,2,0.73167,0.74188,0.535336,0.539333,0.003997,1.0075,1.07,1500
always-small,independent,3,0.74289,0.74681,0.409988,0.401333,-0.008655,0.9789,1.605,1500
always-small,independent,5,0.7424,0.74519,0.225522,0.211333,-0.014189,0.9371,2.675,1500
always-small,independent,8,0.75208,0.74827,0.102359,0.108,0.005641,1.0551,4.28,1500
always-small,independent,12,0.7535,0.75161,0.033496,0.032667,-0.00083,0.9752,6.42,1500
always-large,correlated,1,0.97533,0.98094,0.975333,0.975333,0.0,1.0,2.74,1500
always-large,correlated,2,0.98533,0.98287,0.970882,0.970667,-0.000215,0.9998,5.48,1500
always-large,correlated,3,0.98356,0.98171,0.951473,0.954,0.002527,1.0027,8.22,1500
always-large,correlated,5,0.98093,0.98202,0.908233,0.914,0.005767,1.0063,13.7,1500
always-large,correlated,8,0.98283,0.98243,0.870641,0.879333,0.008693,1.01,21.92,1500
always-large,correlated,12,0.98039,0.98165,0.788462,0.814667,0.026205,1.0332,32.88,1500
always-large,independent,1,0.97933,0.98352,0.979333,0.979333,0.0,1.0,2.74,1500
always-large,independent,2,0.98167,0.98408,0.963669,0.963333,-0.000336,0.9997,5.48,1500
always-large,independent,3,0.98133,0.98389,0.945039,0.946,0.000961,1.001,8.22,1500
always-large,independent,5,0.9864,0.984,0.933825,0.934,0.000175,1.0002,13.7,1500
always-large,independent,8,0.97967,0.98404,0.848451,0.848667,0.000216,1.0003,21.92,1500
always-large,independent,12,0.98411,0.98417,0.825144,0.823333,-0.00181,0.9978,32.88,1500
LinUCB,correlated,1,0.89733,0.90388,0.897333,0.897333,0.0,1.0,1.1634,1500
LinUCB,correlated,2,0.911,0.92099,0.829921,0.832,0.002079,1.0025,2.5217,1500
LinUCB,correlated,3,0.91867,0.9207,0.775307,0.779333,0.004026,1.0052,3.7186,1500
LinUCB,correlated,5,0.91933,0.91936,0.656697,0.671333,0.014636,1.0223,6.1398,1500
LinUCB,correlated,8,0.918,0.91799,0.504361,0.544667,0.040306,1.0799,9.7917,1500
LinUCB,correlated,12,0.91728,0.91579,0.354822,0.423333,0.068511,1.1931,14.0425,1500
LinUCB,independent,1,0.90933,0.92291,0.909333,0.909333,0.0,1.0,1.295,1500
LinUCB,independent,2,0.904,0.90943,0.817216,0.817333,0.000117,1.0001,2.3902,1500
LinUCB,independent,3,0.91444,0.91237,0.764666,0.765333,0.000667,1.0009,3.5022,1500
LinUCB,independent,5,0.91893,0.91955,0.65527,0.649333,-0.005936,0.9909,6.0181,1500
LinUCB,independent,8,0.91608,0.91609,0.495998,0.490667,-0.005331,0.9893,9.2469,1500
LinUCB,independent,12,0.92033,0.92247,0.369268,0.377333,0.008065,1.0218,14.5474,1500
