experiment,workload,split,unit,alpha,target_coverage,empirical_coverage,coverage_std,mean_set_size,empty_rate,singleton_rate,error_rate,escalation_rate,accept_rate,union_bound,slack,mean_cost,n_cal,n_test,n_splits
marginal,nominal,-,small,0.01,0.99,0.9903,0.00144,7.7542,0.0,0.00024,0.29912,,,,,,4000,36000,20
conditional,nominal,-,small|difficulty-easy,0.01,0.99,0.99794,0.00045,,,,0.29912,,,,,,4000,12000,20
conditional,nominal,-,small|difficulty-medium,0.01,0.99,0.99198,0.00129,,,,0.29912,,,,,,4000,12000,20
conditional,nominal,-,small|difficulty-hard,0.01,0.99,0.98099,0.00266,,,,0.29912,,,,,,4000,12000,20
marginal,nominal,-,small,0.02,0.98,0.97996,0.00187,7.4982,0.0,0.00027,0.29912,,,,,,4000,36000,20
conditional,nominal,-,small|difficulty-easy,0.02,0.98,0.99573,0.00045,,,,0.29912,,,,,,4000,12000,20
conditional,nominal,-,small|difficulty-medium,0.02,0.98,0.98348,0.0016,,,,0.29912,,,,,,4000,12000,20
conditional,nominal,-,small|difficulty-hard,0.02,0.98,0.96065,0.00365,,,,0.29912,,,,,,4000,12000,20
marginal,nominal,-,small,0.05,0.95,0.94892,0.00344,6.747,0.0,0.00091,0.29912,,,,,,4000,36000,20
conditional,nominal,-,small|difficulty-easy,0.05,0.95,0.9884,0.00064,,,,0.29912,,,,,,4000,12000,20
conditional,nominal,-,small|difficulty-medium,0.05,0.95,0.95916,0.00282,,,,0.29912,,,,,,4000,12000,20
conditional,nominal,-,small|difficulty-hard,0.05,0.95,0.89918,0.00694,,,,0.29912,,,,,,4000,12000,20
marginal,nominal,-,small,0.075,0.925,0.92524,0.00295,6.1892,0.0,0.00133,0.29912,,,,,,4000,36000,20
conditional,nominal,-,small|difficulty-easy,0.075,0.925,0.98353,0.00089,,,,0.29912,,,,,,4000,12000,20
conditional,nominal,-,small|difficulty-medium,0.075,0.925,0.93827,0.00208,,,,0.29912,,,,,,4000,12000,20
conditional,nominal,-,small|difficulty-hard,0.075,0.925,0.85387,0.00595,,,,0.29912,,,,,,4000,12000,20
marginal,nominal,-,small,0.1,0.9,0.90092,0.00602,5.6244,0.0,0.00222,0.29912,,,,,,4000,36000,20
conditional,nominal,-,small|difficulty-easy,0.1,0.9,0.9784,0.00157,,,,0.29912,,,,,,4000,12000,20
conditional,nominal,-,small|difficulty-medium,0.1,0.9,0.91946,0.00491,,,,0.29912,,,,,,4000,12000,20
conditional,nominal,-,small|difficulty-hard,0.1,0.9,0.80487,0.01163,,,,0.29912,,,,,,4000,12000,20
marginal,nominal,-,small,0.125,0.875,0.87454,0.00539,5.0262,0.0,0.00359,0.29912,,,,,,4000,36000,20
conditional,nominal,-,small|difficulty-easy,0.125,0.875,0.97331,0.00097,,,,0.29912,,,,,,4000,12000,20
conditional,nominal,-,small|difficulty-medium,0.125,0.875,0.89752,0.00455,,,,0.29912,,,,,,4000,12000,20
