block,policy,task_success,task_success_se,seconds_per_query,mean_cost,peak_memory_gb,mean_memory_gb,escalation_rate,mean_reward,mean_reward_se,paired_delta_vs_linucb,paired_delta_se,significant_vs_linucb,cost_at_matched_acc,cost_ratio_at_matched_acc,final_regret,share_small,share_mid,share_large,budget,total_spend,t,spend,budget_line,dual_price,n_queries,n_seeds
policy,always-small,0.69742,0.001938,0.547,0.547,2.2,2.2,,0.63178,0.001917,-0.1165,0.001339,1,0.547,1.0,2659.8572,1.0,0.0,0.0,,,,,,,20000.0,5.0
policy,always-large,0.9784,0.000359,2.80656,2.80656,18.6,18.6,,0.64161,0.000602,-0.106666,0.000666,1,2.80656,1.0,2456.324,0.0,0.0,1.0,,,,,,,20000.0,5.0
policy,random,0.8479,0.002051,1.48326,1.48326,18.6,8.7378,0.666,0.66991,0.002049,-0.078368,0.001696,1,1.10016,1.34822,1895.5414,0.33402,0.33214,0.33384,,,,,,,20000.0,5.0
policy,difficulty-threshold,0.90264,0.000483,1.2547,1.2547,18.6,6.8152,0.79624,0.75207,0.00066,0.003794,0.000409,1,2.80656,0.4471,270.7334,0.20376,0.63962,0.15662,,,,,,,20000.0,5.0
policy,LinUCB,0.90756,0.001481,1.32734,1.32734,18.6,7.3214,0.85069,0.74828,0.000637,0.0,0.0,,2.80656,0.47292,335.053,0.1493,0.66892,0.18178,18582.7392,26546.7702,,,,,20000.0,5.0
policy,LinGreedy,0.73104,0.034606,0.65744,0.65744,2.84,2.84,0.19999,0.65215,0.021288,-0.096132,0.021154,1,0.65746,1.0,2254.737,0.80002,0.2,0.0,,,,,,,20000.0,5.0
policy,Thompson,0.90075,0.001889,1.2869,1.2869,18.6,6.9894,0.86989,0.74632,0.00055,-0.001956,0.000577,1,2.80656,0.45854,385.6876,0.13012,0.71792,0.15196,,,,,,,20000.0,5.0
policy,budgeted (single-price),0.84874,0.00157,0.92068,0.92068,18.6,5.0006,0.61989,0.73826,0.000711,-0.010022,0.000695,1,1.10016,0.83684,543.2466,0.3801,0.558,0.0619,18582.7392,18413.6268,,,,,20000.0,5.0
policy,conformal cascade (alpha=0.2),0.97796,0.000337,4.33446,4.33446,18.6,18.0388,0.99894,0.64986,0.000362,-0.098414,0.000733,1,2.80656,1.54438,2305.5676,0.00106,0.0412,0.95774,,,,,,,20000.0,5.0
policy,oracle (cheapest sufficient),0.98453,0.000282,0.86848,0.86848,18.6,4.3744,,0.88031,0.000347,0.132032,0.000415,1,,,1595.4736,0.71252,0.19242,0.09504,,,,,,,20000.0,5.0
policy,oracle (expected-reward),0.91769,0.000811,1.26172,1.26172,18.6,7.4842,,0.76628,0.000902,0.018006,0.000795,1,2.80656,0.44954,0.0,0.22696,0.56012,0.21288,,,,,,,20000.0,5.0
budget_trace,budgeted (single-price),,,,,,,,,,,,,,,,,,,,,1,0.4249,0.9256,0.0,20000,1
budget_trace,budgeted (single-price),,,,,,,,,,,,,,,,,,,,,101,112.5982,93.4881,0.314278,20000,1
budget_trace,budgeted (single-price),,,,,,,,,,,,,,,,,,,,,201,202.8165,186.0506,0.294217,20000,1
budget_trace,budgeted (single-price),,,,,,,,,,,,,,,,,,,,,301,295.6918,278.6131,0.311731,20000,1
budget_trace,budgeted (single-price),,,,,,,,,,,,,,,,,,,,,401,387.8067,371.1756,0.318491,20000,1
budget_trace,budgeted (single-price),,,,,,,,,,,,,,,,,,,,,501,479.2347,463.7381,0.315537,20000,1
budget_trace,budgeted (single-price),,,,,,,,,,,,,,,,,,,,,601,571.2665,556.3006,0.321122,20000,1
budget_trace,budgeted (single-price),,,,,,,,,,,,,,,,,,,,,701,661.1263,648.8631,0.295991,20000,1
budget_trace,budgeted (single-price),,,,,,,,,,,,,,,,,,,,,801,758.022,741.4255,0.370362,20000,1
budget_trace,budgeted (single-price),,,,,,,,,,,,,,,,,,,,,901,843.283,833.988,0.280193,20000,1
