experiment,policy,t,cum_regret,argmax_gap_scale,argmax_interior,fitted_slope,fit_r2,fit_prefactor,fit_lo,fit_hi,n_seeds,d,n_arms,sigma
minimax,LinUCB,100,101.038448,7.94328,0,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,115,110.76637,7.94328,0,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,132,117.650777,7.94328,0,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,151,123.846381,7.94328,0,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,173,130.462214,7.94328,0,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,199,135.686957,7.94328,0,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,228,144.803123,7.94328,0,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,262,151.825212,7.94328,0,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,300,160.884629,7.94328,0,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,345,168.018578,7.94328,0,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,395,173.785978,7.94328,0,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,454,181.490699,7.94328,0,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,521,186.99265,7.94328,0,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,597,191.342567,7.94328,0,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,685,194.738026,7.94328,0,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,786,199.316298,7.94328,0,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,902,203.921445,7.94328,0,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,1035,208.430901,7.94328,0,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,1188,213.193911,7.94328,0,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,1363,223.652336,2.359,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,1564,238.627257,1.28556,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,1794,261.285358,1.28556,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,2058,286.271642,1.28556,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,2362,309.856369,1.28556,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,2710,333.543361,1.28556,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,3109,354.562284,1.28556,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,3567,375.79288,1.28556,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,4093,398.29271,1.28556,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,4696,421.232241,1.28556,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,5389,444.058287,1.28556,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,6183,467.157636,1.28556,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,7094,491.700251,1.28556,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,8139,515.308872,1.28556,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,9339,540.863068,1.28556,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,10715,565.024879,1.28556,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,12294,595.74465,0.38178,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,14106,646.394699,0.38178,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,16185,700.864793,0.38178,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,18571,758.667351,0.38178,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,21307,819.970331,0.38178,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,24448,889.514888,0.38178,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,28051,963.429873,0.38178,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,32185,1041.950584,0.38178,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,36928,1123.763179,0.38178,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,42370,1207.488394,0.38178,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,48615,1290.399662,0.38178,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,55779,1374.796059,0.38178,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,LinUCB,64000,1463.445289,0.38178,1,0.4682,0.99282,7.8867,2000,64000,5,20,5,1.0
minimax,Thompson,100,122.948138,7.94328,0,0.4599,0.99881,9.9493,2000,64000,5,20,5,1.0
minimax,Thompson,115,131.889568,7.94328,0,0.4599,0.99881,9.9493,2000,64000,5,20,5,1.0
minimax,Thompson,132,139.83146,7.94328,0,0.4599,0.99881,9.9493,2000,64000,5,20,5,1.0
