bias_b,policy,t,regret_vs_surrogate,regret_vs_true,slope_surrogate,r2_surrogate,slope_true,r2_true,true_success,true_mean_cost,true_mean_reward,arm_share_small,arm_share_mid,arm_share_large,fit_lo,fit_hi,n_seeds
0.0,LinUCB,100,5.5816,5.5816,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,117,6.3793,6.3793,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,136,7.1087,7.1087,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,159,7.9783,7.9783,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,185,8.4705,8.4705,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,216,9.5243,9.5243,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,251,10.5659,10.5659,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,293,11.9961,11.9961,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,342,13.9325,13.9325,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,399,15.7839,15.7839,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,465,17.5029,17.5029,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,542,18.9258,18.9258,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,632,20.835,20.835,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,737,23.2178,23.2178,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,859,25.0607,25.0607,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,1002,28.01,28.01,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,1168,31.1274,31.1274,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,1362,35.0289,35.0289,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,1588,39.1358,39.1358,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,1852,44.3763,44.3763,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,2160,50.0203,50.0203,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,2518,56.7588,56.7588,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,2936,64.3736,64.3736,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,3424,72.8209,72.8209,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,3993,83.1076,83.1076,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,4656,94.8613,94.8613,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,5429,106.8109,106.8109,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,6330,120.2878,120.2878,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,7382,136.501,136.501,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,8607,155.0709,155.0709,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,10037,176.9524,176.9524,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,11703,202.7119,202.7119,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,13647,231.4626,231.4626,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
0.0,LinUCB,15913,263.4743,263.4743,0.8457,0.9996,0.8457,0.9996,0.90664,1.3017,0.75043,0.1528,0.6798,0.1674,2000,40000,3
